item,"节目名称","收看人数","收看人次","收看时长（小时）","户均访问时长（分钟）","次均访问时长（分钟）","户均访问次数"
244945,"后天",3177,5046,"3649.43","68.92","43.39","1.59"
285463,"武工队传奇",3175,48117,"21494.49","406.20","26.80","15.15"
269015,"暂告安全",3163,4799,"3460.49","65.64","43.27","1.52"
284406,"小两口",3162,23743,"11012.26","208.96","27.83","7.51"
288513,"AOA《动摇》",3162,4612,"232.79","4.42","3.03","1.46"
260458,"中国好声音第2季第5期 台版苏珊大妈踢馆",3153,5359,"4096.71","77.96","45.87","1.70"
272087,"神魄",3151,44163,"8258.31","157.25","11.22","14.02"
160146,"青蜂侠 3D",3148,4419,"1189.95","22.68","16.16","1.40"
219117,"李孝利《Bad Girls》",3146,5123,"321.19","6.13","3.76","1.63"
257391,"入侵华尔街",3145,4274,"2198.09","41.93","30.86","1.36"
261875,"猫和老鼠:巨人大冒险",3140,5556,"2219.80","42.42","23.97","1.77"
92650,"大追捕",3138,4601,"2699.09","51.61","35.20","1.47"
255922,"今夜天使降临",3120,43578,"18457.30","354.95","25.41","13.97"
51644,"蜡笔小新第1部",3084,73596,"7499.02","145.90","6.11","23.86"
255660,"反恐行动之血战到底",3076,4409,"715.13","13.95","9.73","1.43"
330038,"环大西洋",3071,3995,"1603.07","31.32","24.08","1.30"
264386,"金素丽19禁新单《Bikini》",3061,5642,"221.85","4.35","2.36","1.84"
326736,"到爱的距离",3060,31668,"12656.71","248.17","23.98","10.35"
338720,"赏金杀手",3043,4102,"1792.56","35.34","26.22","1.35"
167364,"尖峰时刻3",3016,4536,"3291.32","65.48","43.54","1.50"
219113,"人间蒸发",3010,4568,"2124.12","42.34","27.90","1.52"
270288,"卖淫女供性交易过程",2995,4307,"113.68","2.28","1.58","1.44"
222554,"断奶",2977,38094,"13586.78","273.83","21.40","12.80"
270248,"孙俪张译《稳稳的幸福》（电视剧辣妈正传主题曲MV）",2971,4848,"227.53","4.60","2.82","1.63"
98093,"痞子英雄之全面开战",2970,5215,"3673.68","74.22","42.27","1.76"
178744,"大上海",2953,4816,"3632.00","73.80","45.25","1.63"
249306,"小男人遇上大女人",2930,33142,"14943.82","306.02","27.05","11.31"
268645,"假如生活欺骗了你",2927,42668,"18169.59","372.45","25.55","14.58"
20346,"邻家特工",2926,4390,"2610.84","53.54","35.68","1.50"
137165,"白鹿原",2915,4673,"2810.67","57.85","36.09","1.60"
282086,"少女时代《Genie》3D版",2914,4531,"164.53","3.39","2.18","1.55"
62958,"那些年，我们一起追的女孩",2904,4677,"3100.15","64.05","39.77","1.61"
284970,"胜女的代价2",2904,15200,"7129.96","147.31","28.14","5.23"
244496,"王牌情敌",2896,4309,"2878.41","59.64","40.08","1.49"
326918,"法外风云",2894,24804,"11369.95","235.73","27.50","8.57"
138745,"起跑线儿歌",2887,156340,"5704.26","118.55","2.19","54.15"
209325,"盛夏晚晴天",2851,32314,"10770.18","226.66","20.00","11.33"
288562,"劫机惊魂",2838,3735,"1810.87","38.28","29.09","1.32"
270371,"双煞",2836,4510,"1638.99","34.68","21.80","1.59"
