应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
弹性世界汉化版,iceskysnow,个人,益智休闲,新版本,1.4.4,14,2013-05-15 16:31:50,上架,合同签署并登陆,11790605,11790597,com.elasticworld.full
猜水容量汉化版,iceskysnow,个人,益智休闲,新版本,1.16,16,2013-05-15 16:25:55,上架,合同签署并登陆,11790564,11790535,com.chuslab.WaterCapacity
十三张（掌联）,xm_zhanglian,企业,益智休闲,升级,1.4.2,10402,2013-05-14 16:35:46,上架,合同签署并登陆,11782262,10975055,com.sz.games.shisanzhang
飞跃死城,veer,个人,益智休闲,新版本,1.1,2,2013-05-14 14:39:39,上架,合同签署并登陆,11782925,11782918,com.chopperkhan.escapefromthedead_yyh
机器人大战 | Mecha-Mecha Panic!,veer,个人,益智休闲,新版本,undefined,23,2013-05-13 17:29:43,上架,合同签署并登陆,11776895,11776877,com.gameclosurelabs.mechamechapanic
愤怒的老奶奶之逃离辐射城,veer,个人,益智休闲,新版本,1.1.6,10,2013-05-13 14:58:26,上架,合同签署并登陆,11776681,11776670,com.aceviral.agrr
海盗宝藏3（最佳人气金苹果奖）,17vee,个人,益智休闲,升级,2.0.0,2000000,2013-05-10 11:16:39,上架,合同签署信息通过,11764718,11710089,air.Treasure3
泡泡龙赢话费,orangegame.cn,企业,益智休闲,升级,1.1,2,2013-05-10 11:16:24,上架,合同签署并登陆,11764234,11650937,com.orangegame.puzzle
滑翔鼠 | Squirrel Gliding,veer,个人,益智休闲,新版本,1.4,14,2013-05-09 19:04:28,上架,合同签署并登陆,11764005,11763984,com.sakana.runner
飞行指挥官??????????(汉化版),iceskysnow,个人,益智休闲,新版本,1.8.5,41,2013-05-09 15:10:21,上架,合同签署并登陆,11762810,11762800,com.camelgames.flightdirector
黄金矿工3,orangegame.cn,企业,益智休闲,升级,1.01,2,2013-05-08 17:54:34,上架,合同签署并登陆,11756437,11739818,com.orangegame.goldenminer
三重镇,idreamsky,企业,益智休闲,升级,1.7.5,4400,2013-05-07 18:06:34,上架,合同签署并登陆,11750262,11417464,com.spryfox.tripletown
黄金矿工3,orangegame.cn,企业,益智休闲,新版本,1.0,1,2013-05-06 17:16:23,上架,合同签署并登陆,11739823,11739818,com.orangegame.goldenminer
僵尸爱吃鸡,qingxin753,个人,益智休闲,新版本,1.0.3,4,2013-05-06 13:40:23,上架,合同签署并登陆,11743342,11743318,com.dfasf.zombies.jump
水果老虎机,orangegame.cn,企业,益智休闲,新版本,1.0,1,2013-05-04 07:16:22,上架,合同签署并登陆,11650933,11650789,com.orange.slotmachine
愤怒的小鸟之朋友,yisongyuan,个人,益智休闲,新版本,1.0.0,3100,2013-05-02 23:40:23,上架,合同签署并登陆,11729067,11729025,com.rovio.angrybirdsfriends
啊哈先生,veer,个人,益智休闲,新版本,1.0.0,1,2013-05-02 12:58:35,上架,合同签署并登陆,11725892,11725880,jp.co.ponos.mraahh
捕鱼之星,tommobile,企业,益智休闲,升级,1.56,56,2013-04-26 19:29:15,上架,合同签署并登陆,11700644,10023974,com.mqkk.tom.pkbyzx
创世纪：通天塔3D | Babel Rising 3D,veer,个人,益智休闲,新版本,2.2.19,2219,2013-04-25 16:34:30,上架,合同签署并登陆,11620881,11620840,com.mando.babelrising3d
超级滚球,daai123,个人,益智休闲,新版本,16,120,2013-04-24 18:16:29,上架,合同签署并登陆,11674920,11674905,com.dfafds.tothelatest.football
炮打飞鸟,cugtao,个人,益智休闲,升级,1.0.1,71,2013-04-24 16:56:42,上架,合同签署并登陆,11684947,11059219,fowler.fengyuxx.menu
QQ牧场,veer,个人,益智休闲,新版本,1.20,1020000,2013-04-23 15:25:25,上架,合同签署并登陆,11676171,11676102,air.com.tencent.qqpasture
纸上赛车（汉化版）,iceskysnow,个人,益智休闲,新版本,1.3,10,2013-04-23 14:05:27,上架,合同签署并登陆,11671950,11671945,com.itbenefit.android.paperracing
秘洞寻宝2,matrix,个人,益智休闲,新版本,1.0,1,2013-04-20 12:27:25,上架,合同签署并登陆,11653231,11653218,com.matrix.hexasweeper
真心话大冒险,whitecakevip,个人,益智休闲,新版本,1.0.3.0,6,2013-04-19 16:19:36,上架,合同签署并登陆,11649966,11649954,com.yjm.tbwys
超级泡龙龙,bibifeizhi801,个人,益智休闲,新版本,1.12,13,2013-04-19 16:03:25,上架,合同签署并登陆,11628698,11628684,org.mafeiyasoftohcg.crazybubblejulm
迪迪大冒险 | Didi's Adventure,veer,个人,益智休闲,新版本,1.4.1,1004001,2013-04-19 15:51:32,上架,合同签署并登陆,11649659,11649641,org.PanicArts.DidisAdventureNormalLite
堵车故事 | Yolocaust: A Love Story,veer,个人,益智休闲,新版本,1.0.5,1000005,2013-04-19 15:15:39,上架,合同签署并登陆,11649301,11649282,com.greenlavastudios.yolocaust
星空月下 | Star Sky,veer,个人,益智休闲,新版本,1.01,2,2013-04-19 15:13:24,上架,合同签署并登陆,11649415,11649401,com.jmj.starsky
bloxorz,li_li_li87222,个人,益智休闲,新版本,1.1.0,1001000,2013-04-19 14:17:26,上架,合同签署并登陆,11648714,11648679,air.so.phonegame.bloxorz
保护我心 | Fist Face Fight,veer,个人,益智休闲,新版本,1.0.3,103,2013-04-19 14:15:24,上架,合同签署并登陆,11648775,11648759,com.nocanwin.fistface
渐变挑战 | Blendoku,veer,个人,益智休闲,新版本,1.0.7,14,2013-04-19 14:13:30,上架,合同签署并登陆,11648815,11648806,com.lonelyfew.blendoku
超级玛丽,optimus,个人,益智休闲,升级,1.0.48,49,2013-04-18 16:51:25,上架,合同签署并登陆,11642092,10027921,com.flyfish.supermario
怪物射手,idreamsky,企业,益智休闲,升级,2.1,10001500,2013-04-18 10:03:24,上架,合同签署并登陆,11636104,11555616,com.gamelion.MonsterShooter
阻止金三胖  Stop Kim!,veer,个人,益智休闲,升级,1.02,102,2013-04-16 21:29:28,上架,合同签署并登陆,11629086,11607692,com.bengigi.stopkim
兔小强,daai123,个人,益智休闲,新版本,1.0,1,2013-04-16 10:01:24,上架,合同签署并登陆,11625365,11625364,org.cocos2dx.rabbitjumpwys
帕特森的发明2 | Pettson's Inventions 2,yekong99,个人,益智休闲,升级,1.11,11,2013-04-15 16:23:26,上架,合同签署并登陆,11621267,11303129,se.filimundus.pi2
Entanglement,clmobilestudio,个人,益智休闲,新版本,1.0,1,2013-04-14 12:31:37,上架,合同签署并登陆,11614527,11614352,org.clmobile.Entanglement
捕鱼达人,jianghla,个人,益智休闲,新版本,1.2,5,2013-04-12 14:08:59,上架,合同已确认并登陆,11607474,11607470,org.cocos2dx.FishGameTV
我的纸飞机3 My Paper Plane 3,muzhiwan0,个人,益智休闲,新版本,2.30,10,2013-04-12 11:06:58,上架,合同签署并登陆,11606706,11606697,com.wavecade.mypaperplaneplanet
轨道建设X Construct,snow99612,个人,益智休闲,新版本,1.36,21,2013-04-11 15:31:07,上架,合同签署并登陆,11602117,11602071,de.ren.hms.xconstructionfull
剑仙传奇,sailewuxian,企业,益智休闲,升级,1.2.2,445,2013-04-11 15:29:06,上架,合同签署并登陆,11602219,11225896,com.xunyou.game.activity.saile
综艺7PK,jianghla,个人,益智休闲,新版本,1.0.1.4,1014,2013-04-10 16:47:05,上架,合同已确认并登陆,11581476,11581413,com.kikiplay.my7PK
大黄蜂防御,July125,个人,益智休闲,新版本,1.4,133,2013-04-10 10:35:55,上架,合同签署并登陆,11594007,11593990,jp.capable.bumbledore
综艺水果盘,jianghla,个人,益智休闲,新版本,1.0.1.6,1016,2013-04-08 22:45:27,上架,合同已确认并登陆,11581648,11581621,com.kikiplay.mySlots
综艺小玛莉,jianghla,个人,益智休闲,新版本,1.0.2.3,1023,2013-04-08 22:45:20,上架,合同已确认并登陆,11581620,11581590,com.kikiplay.myMario
综艺5PK,jianghla,个人,益智休闲,新版本,1.0.1.2,1012,2013-04-08 22:41:20,上架,合同已确认并登陆,11581400,11581319,com.kikiplay.my5PK
植物大战僵尸TV对战版,jianghla,个人,益智休闲,升级,1.0.3 lenovo.android.zh_CN ,8,2013-04-08 13:56:22,上架,合同已确认并登陆,11555408,11476125,com.trans.pvz
QQ农场,腾讯无线合作开发部,企业,益智休闲,新版本,v2.11,2011000,2013-04-03 19:06:14,上架,合同签署并登陆,11561099,11561096,air.com.tencent.qqfarmios
细胞星球 高清版 | Cell Planet HD Edition,veer,个人,益智休闲,新版本,1.00,2001,2013-04-03 18:54:28,上架,合同签署并登陆,11560502,11560494,cellplanethd.apk
逃离实验室 | Spunk and Moxie,veer,个人,益智休闲,新版本,1.04,2,2013-04-03 18:54:20,上架,合同签署并登陆,11560475,11560459,com.chocoho.spunk
疯狂丢熊猫,idreamsky,企业,益智休闲,升级,1.0.4,5,2013-04-02 16:41:46,上架,合同签署并登陆,11555249,11417397,com.miniclip.pandaskynet
水果忍者,idreamsky,企业,益智休闲,新版本,1.7.15,1715,2013-04-02 14:59:14,上架,合同签署并登陆,11555426,11555401,com.halfbrick.fruitninja
寻找喵星人,dsfsdsfs2007,个人,益智休闲,新版本,1.0.7,1000007,2013-03-28 16:34:40,上架,合同签署并登陆,11529023,11529011,com.air.bolengu
PBA Bowling Spare Challenge,July125,个人,益智休闲,新版本,2.1,20010,2013-03-28 15:18:31,上架,合同签署并登陆,11528700,11528684,de.earthif.pba2_demobuynow
PBA Bowling Spare Challenge,July125,个人,益智休闲,新版本,2.1,20010,2013-03-28 15:00:30,上架,合同签署并登陆,11528675,11528620,cc.threats.pba2_demobuynow
我的钢琴,upup,个人,益智休闲,新版本,3.3,24,2013-03-28 11:02:52,上架,合同签署并登陆,11522816,11522799,com.bti.myPianowys
Super Sphere,July125,个人,益智休闲,新版本,2.1,11,2013-03-25 13:55:32,上架,合同签署并登陆,11490930,11490890,com.tothelatest.football
Super Sphere,July125,个人,益智休闲,新版本,2.1,11,2013-03-25 13:55:17,上架,合同签署并登陆,11490962,11490931,de.alsosaid.football
Bumblebee Race,July125,个人,益智休闲,新版本,1.19,112,2013-03-25 13:45:35,上架,合同签署并登陆,11481605,11481539,cc.tothelatest.wf_inap
愤怒的小鸟季节版 | Angry Birds Seasons,rovio,个人,益智休闲,升级,3.2.1,3210,2013-03-20 19:03:28,上架,合同已确认并登陆,11477166,11047859,com.rovio.angrybirdsseasons
TOUCH,pwrd,企业,音乐游戏,新版本,1.0,2,2013-08-05 14:20:13,上架,合同签署并登陆,11691106,11690977,com.perfectworld.tv
乐动达人,yuedongdaren,企业,音乐游戏,新版本,1.0.1,1017420,2013-06-14 11:37:52,上架,合同签署并登陆,11913784,11913770,com.redatoms.games.beatmasterpad
決奏 | Khaos,veer,个人,音乐游戏,新版本,1.01,2,2013-05-14 14:41:45,上架,合同签署并登陆,11782973,11782960,com.funkit.khaosfull
