应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
火柴人坡道飙车,qingxin753,个人,动作游戏,新版本,1.2,3,2013-10-28 10:52:25,上架,合同签署并登陆,12461807,12461796,com.appgamess.Stickman_Downhill
3D暴力摩托-狂野飙车,xiaoao,企业,动作游戏,升级,1.5.04,32,2013-10-24 10:46:21,上架,合同签署并登陆,12437559,11676324,com.sxiaoao.moto3dOnline
3D暴力摩托-狂野飙车,xiaoao,企业,动作游戏,升级,1.5.03,31,2013-10-23 10:38:22,上架,合同签署并登陆,12432039,11676324,com.sxiaoao.moto3dOnline
火车危机,wysdxj,个人,动作游戏,升级,1.0.24,25,2013-10-22 22:20:22,上架,合同签署并登陆,12430604,12273842,com.android.guc.traingame
荒野求生 | Survival Run,veer,个人,动作游戏,升级,1.2.7,13,2013-10-16 18:32:33,上架,合同签署并登陆,12372709,11330787,com.f84games.survivalrun
火车拦路者,wysdxj,个人,动作游戏,升级,1.0.20,21,2013-10-15 01:38:43,上架,合同签署并登陆,12360593,12273842,com.android.guc.traingame
火车拦路者,wysdxj,个人,动作游戏,升级,1.0.18,19,2013-10-09 13:13:54,上架,合同签署并登陆,12323128,12273842,com.android.guc.traingame
疯狂跳跳球,wysdxj,个人,动作游戏,升级,1.0.17,18,2013-10-09 13:13:48,上架,合同签署并登陆,12323105,12201770,com.android.guc.tiaotiaoqiu
密室逃生-深山密室 酷传版,developer5608,个人,动作游戏,升级,2.1.1,211,2013-10-06 12:41:35,上架,合同已确认并登陆,12319904,12220068,studio.tenn.remoch.free
水果忍者之利剑,pisaoluo,个人,动作游戏,升级,1.1.3.8,105,2013-10-02 10:45:37,上架,合同签署并登陆,12316525,12150616,com.instlight
疯狂跳跳球,wysdxj,个人,动作游戏,升级,1.0.15,16,2013-09-30 17:49:45,上架,合同签署并登陆,12314465,12201770,com.android.guc.tiaotiaoqiu
火车拦路者,wysdxj,个人,动作游戏,升级,1.0.17,18,2013-09-30 17:31:36,上架,合同签署并登陆,12314019,12273842,com.android.guc.traingame
江湖擎天诀OL,woking,企业,动作游戏,新版本,1.5.0,12,2013-09-29 13:03:32,上架,合同签署并登陆,12309668,12309601,com.xxtx.main.zhiyou
3D暴力摩托-狂野飙车,xiaoao,企业,动作游戏,升级,1.5.02,30,2013-09-26 20:57:44,上架,合同签署并登陆,12304282,11676324,com.sxiaoao.moto3dOnline
劫你妹(武侠),happiness0804,企业,动作游戏,升级,2.6,26,2013-09-23 19:14:33,上架,合同签署并登陆,12296491,12165952,com.wx.tkwan3
降魔神话,C1wan,企业,动作游戏,升级,1.2,1000002,2013-09-22 19:26:33,上架,合同签署并登陆,12293112,11968259,air.com.qlwx.xmsh.cmge.c1wan
劫你妹(武侠),happiness0804,企业,动作游戏,升级,2.5,25,2013-09-17 19:18:45,上架,合同签署并登陆,12277209,12165952,com.wx.tkwan3
Space Mission GN-1,gameneeti,企业,动作游戏,新版本,1.0,1,2013-09-06 19:46:51,上架,合同签署并登陆,12240491,12240473,com.gameneeti.game.SpaceMissionGN1
Snow Off Road,3g60,个人,动作游戏,升级,1.20,3,2013-09-05 17:20:55,上架,合同签署并登陆,12238772,11932196,com.tophotapp.snowoffroad
恐惧之魂 | SCARESOUL,veer,个人,动作游戏,升级,1.3.0,130,2013-09-05 16:20:46,上架,合同签署并登陆,12239205,11367125,net.gree.android.pf.greeapp57201a
丛林有情猪,dmmap_app,企业,动作游戏,升级,2.0.1,2,2013-09-03 10:48:41,上架,合同签署并登陆,12228494,12121784,com.youshi.mm.angrypink2
降魔神话（金币版）,C1wan,企业,动作游戏,升级,1.1,1000001,2013-08-27 21:41:41,上架,合同签署并登陆,12207301,11968259,air.com.qlwx.xmsh.cmge.c1wan
Big Truck,3g60,个人,动作游戏,升级,1.20,3,2013-08-25 11:57:39,上架,合同签署并登陆,12198478,11749462,com.tophotapp.bigtruck
不可能完成的关卡,2628222975,个人,动作游戏,新版本,1.0.2,3,2013-08-23 20:05:49,上架,合同签署并登陆,10788182,10788178,mag.game.implevelraw
龙之吻,argtgames,企业,动作游戏,新版本,1.0.1,2,2013-08-23 16:49:46,上架,合同签署并登陆,12136646,12136593,com.argtgames.longzhiwen
金庸群侠传,fanyigongsi,企业,动作游戏,新版本,1.0.0,1,2013-08-20 18:12:17,上架,合同签署并登陆,12151539,12151526,com.ly.a09.SKWL
特警大战僵尸,Jamogames,企业,角色策略,新版本,1.0.0,1,2014-02-11 15:13:24,上架,合同签署并登陆,13696303,13696257,com.manodio.swatandzombies.android.china.panggame.mm
仙游记,w11007,企业,角色策略,新版本,1.8.2,1008002,2014-02-10 16:52:11,上架,合同签署并登陆,13689248,13689217,air.com.lingyu.zzxlmobile.A365you.xyj
仙王之王,w11007,企业,角色策略,新版本,1.8.2,1008002,2014-02-09 15:58:11,上架,合同签署并登陆,13679374,13679364,air.com.lingyu.zzxlmobile.A365you.xwzw
笑傲三界,w11007,企业,角色策略,新版本,1.13.131213,113131213,2014-01-28 14:42:12,上架,合同签署并登陆,13544887,13544821,com.kuyue.zxchanyou.xasj
植物大战僵尸长城版,lenovomm,个人,角色策略,新版本,1.1,101,2014-01-27 11:35:21,上架,合同签署并登陆,13529705,13529676,com.popcap.pvzq
蛋蛋塔防,xmenu,企业,角色策略,新版本,0.9.1,1,2014-01-27 11:15:29,上架,合同签署并登陆,13529108,13529075,com.taixin.tdgame
仙剑Q侠传,miqiugame,企业,角色策略,升级,3.3.1,33,2014-01-27 10:15:24,上架,合同签署并登陆,13528993,12567022,cn.miq.miq.qsuiko
新仙剑Q侠传,miqiugame,企业,角色策略,升级,3.3.1,4,2014-01-26 15:59:13,上架,合同签署并登陆,13514333,13019516,cn.miq.QJhongS
西游后传,lenovomm,个人,角色策略,新版本,1.0,1,2014-01-26 11:55:21,上架,合同签署并登陆,13510553,13510527,com.qeebu.JourneyToTheWest
特工任务,2875487768,个人,角色策略,升级,2.5,3690,2014-01-25 17:23:14,上架,合同签署信息通过,13508210,12748331,com.agents.task
封神争霸,KS_KQC,企业,角色策略,升级,3.6,24,2014-01-24 15:55:31,上架,合同签署并登陆,13504869,12298769,org.sevenstar.kingofwar
龙斗士,掌上明珠,企业,角色策略,升级,2.6.0,31,2014-01-24 15:35:33,上架,合同签署并登陆,13504778,11904413,com.pip.mzcity.lenovomm
龙斗士:女神来了,掌上明珠,企业,角色策略,升级,2.6.0,31,2014-01-24 15:29:36,上架,合同签署并登陆,13504738,12164310,com.pip.mzcity.lenovompay
忍者来了,tyb1976,个人,角色策略,新版本,1.8.0,1,2014-01-23 18:05:34,上架,合同签署并登陆,13501307,13500580,com.mobygame.ron.lemon
狩猎赛车,xiaomeng,个人,角色策略,升级,1.1,2,2014-01-23 16:15:34,上架,合同签署并登陆,13500999,12944201,com.tnylabproductions.safarikidracing
基地防御战,xiaomeng,个人,角色策略,升级,1.2.5,15,2014-01-23 16:05:31,上架,合同签署并登陆,13500956,12954945,com.droidcop.defensebattle
高速飞驰,xiaomeng,个人,角色策略,升级,1.2.3,123,2014-01-23 15:08:46,上架,合同签署并登陆,13500735,12755346,com.batteryacid.highwiyrider
黎明之光（王者）,celery0922,企业,角色策略,升级,1.1.9,8,2014-01-23 11:56:36,上架,合同签署并登陆,13499120,12862529,com.huoys.wzzhlmzg
英雄无敌（王者）,happiness0804,企业,角色策略,升级,1.1.9,8,2014-01-21 16:58:36,上架,合同签署并登陆,13469511,12260399,com.huoys.wzzhyxwd
飞机战争,maria205,个人,角色策略,升级,2.12,10002,2014-01-21 14:54:48,上架,合同签署并登陆,13468925,13029286,com.me.spacewars
幻想西游,C1wan,企业,角色策略,新版本,2.2,8,2014-01-18 19:08:36,上架,合同签署并登陆,13431547,13431518,cn.kk.xyj.p44755_hxxy
龙斗士:女神来了,掌上明珠,企业,角色策略,升级,2.5.0,30,2014-01-15 10:33:15,上架,合同签署并登陆,13315465,12164310,com.pip.mzcity.lenovompay
冰封前线1941中文版,macikod,个人,角色策略,新版本,1.0.3,3,2013-11-25 21:45:59,上架,合同签署并登陆,12598665,12598641,com.petpest.forzen2
战地1941,guotao2023,个人,角色策略,新版本,1.0.3,3,2013-11-25 21:39:57,上架,合同签署并登陆,12598717,12598695,com.petpest.frozen3
王的女人,zhizhangcom,企业,角色策略,新版本,1.0.1,2,2013-11-25 14:09:54,上架,合同签署并登陆,12593117,12593092,org.cocos2dx.Playboy
大海战2,sorce,个人,角色策略,新版本,1.0.2,3,2013-11-22 22:07:58,上架,合同签署并登陆,12585201,12585160,com.byr.battlship
龙之力量,gaow0125,个人,角色策略,新版本,3.0,3,2013-11-22 21:32:29,上架,合同签署并登陆,12584174,12583953,com.digitalcloud.dragonforce.zh
武尊,niuniu001,企业,角色策略,新版本,2.7,27,2013-11-22 21:03:57,上架,合同签署并登陆,12586403,12586396,com.wx.nmwz
女神,tyb1976,个人,角色策略,新版本,2.1.3.0,60,2013-11-20 19:02:02,上架,合同签署并登陆,12574506,12574271,com.aiyou.mhsj.hucn_nvshen
World War II,a2438958,个人,角色策略,新版本,1.2,3,2013-11-20 11:29:04,上架,合同签署并登陆,12570006,12570004,com.vg.WorldWarII
少侠闯江湖,changwan_game,企业,角色策略,新版本,2.5,25,2013-11-19 20:59:11,上架,合同签署并登陆,12568852,12568800,com.tx.cw.wxol
仙剑Q侠传,miqiugame,企业,角色策略,新版本,3.0.1,30,2013-11-19 18:23:04,上架,合同签署并登陆,12567153,12567022,cn.miq.miq.qsuiko
新傲视天地,wirelessteam51,企业,角色策略,新版本,1.0.3,103,2013-11-13 20:02:52,上架,合同签署并登陆,12546620,12546579,com.phonewoods.Aoshi51
纹章骑士团(汉化版),veer,个人,角色策略,新版本,1.3,8,2013-11-13 19:56:08,上架,合同签署并登陆,12546462,12546416,com.me.games.trinitycrest1
银河英雄传,gamexiang,企业,角色策略,新版本,3.0,5,2013-11-12 10:24:06,上架,合同签署并登陆,12535257,12535237,cn.gamexx.hog
英雄联盟:塔防,rabbit_dingding,个人,角色策略,新版本,1.0.1,2,2013-11-12 10:00:04,上架,合同签署并登陆,12534745,12534569,com.cn.android.gavin.herodefense
游戏世界HD,lenovoe2e,个人,角色策略,升级,4.0.11,4011,2013-11-11 17:20:02,上架,合同签署并登陆,12534814,12439118,com.lenovo.gameworld
天降奇兵(金币版),C1wan,企业,角色策略,升级,1.13.0929,1130929,2013-11-09 12:06:04,上架,合同签署并登陆,12521807,12000779,com.kuyue.zxqitian
英雄无敌（王者）,happiness0804,企业,角色策略,升级,1.1.6,4,2013-11-08 16:58:05,上架,合同签署并登陆,12517811,12260399,com.huoys.wzzhyxwd
华山论剑,nihao1,企业,角色策略,新版本,2.7,27,2013-11-05 16:21:34,上架,合同签署并登陆,12492179,12492143,com.wx.tkwan1
密室恐怖故事-幽灵小镇,developer5608,个人,角色策略,新版本,2.0.9,209,2013-11-03 00:03:37,上架,合同已确认并登陆,12486781,12486599,studio.tenn.bhsghto
QQ降龙2,tencentgame,企业,角色策略,升级,3.6.27,30627,2013-11-02 16:55:33,上架,合同签署并登陆,12486901,12328484,com.tencent.qqxl2
游戏世界HD,lenovoe2e,个人,角色策略,升级,4.0.10,4010,2013-11-01 18:39:34,上架,合同签署并登陆,12479858,12439118,com.lenovo.gameworld
冒险蘑菇,fanfanfry,个人,角色策略,新版本,1.0.1,1,2013-10-31 11:43:36,上架,合同签署并登陆,12472837,12472791,com.hezuomougudoudou.game
馬桶衝衝樂Lite(Toilet,zhanglan84120,个人,角色策略,新版本,1.3,4,2013-10-30 00:06:58,上架,合同签署并登陆,12468404,12468396,com.appgames.matongchongchongle
问剑江湖,朴红玉,个人,角色策略,升级,2.5,25,2013-10-29 21:56:56,上架,合同已确认并登陆,12468423,12201863,com.wx.wjjh.cmge
永恒战士2-无双战神,中国移动游戏基地,企业,角色策略,升级,4.2.0,420,2013-10-25 18:17:21,上架,合同签署并登陆,12449396,12067628,com.glu.ewarriors2
射雕群侠传,gwyaq,个人,角色策略,新版本,1.0.9,9,2013-10-23 15:38:20,上架,合同签署并登陆,12435157,12435079,com.qx.mobile.kof.baina
龙霸三国,zzcentral,企业,角色策略,升级,3.0,12,2013-10-21 14:16:21,上架,合同签署信息通过,12420522,12305679,com.tuomi.mssg.cmge
口袋英雄,miqiugame,企业,角色策略,升级,1.3.2,5,2013-10-21 13:34:21,上架,合同签署并登陆,12420145,12145821,cn.miq.pocketheros
魔兽三国,zzcentral,企业,角色策略,升级,3.0,12,2013-10-18 15:50:33,上架,合同签署信息通过,12384988,11519286,com.tuomi.longzhan.cmge
轩辕名将传,wirelessteam51,企业,角色策略,新版本,1.43,1430,2013-10-18 14:32:21,上架,合同签署并登陆,12383372,12383346,com.sq.sanguo.s.xy51
修你妹,朴红玉,个人,角色策略,新版本,1.12.0615,1120615,2013-10-18 14:00:21,上架,合同已确认并登陆,12382848,12382800,com.kuyue.zx49you5
异界女神传,健力工作室,个人,角色策略,新版本,2.4.0,19,2013-10-16 19:10:20,上架,合同签署并登陆,12372833,12372815,com.pip.mzcitysm
银河英雄传,gamexiang,企业,角色策略,新版本,2.0,1,2013-10-16 09:34:49,上架,合同签署并登陆,12368882,12368805,cn.gamexx.hog.kuchuan
魔卡大作战,lunplay,企业,角色策略,升级,1.1.5,2,2013-10-15 17:26:48,上架,合同签署并登陆,12367950,12308980,com.huoys.wzzhlunplay
仙魔斗,ddlewinads,企业,角色策略,升级,1.13.0929,1130929,2013-10-15 17:20:43,上架,合同签署并登陆,12367921,12107614,com.kuyue.zxydn6
是仙,niaoqiang2013,个人,角色策略,新版本,1.0.55,55,2013-10-15 15:14:45,上架,合同签署并登陆,12367477,12367385,com.xianjiol.xianji.self
火焰VS外传：亡灵塔,veer,个人,角色策略,升级,1.15.2,1015,2013-10-11 17:52:43,上架,合同签署并登陆,12340089,12277646,com.lakoo.bof
狂斩三国,深圳掌中酷柚,企业,角色策略,升级,2.0.2,7,2013-10-11 12:56:14,上架,合同签署并登陆,12337601,11535746,com.koogame.SangoSlayer
魔卡大作战,lunplay,企业,角色策略,新版本,1.1.4,1,2013-10-08 13:47:36,上架,合同签署并登陆,12308990,12308980,com.huoys.wzzhlunplay
仙剑Q侠传,miqiugame,企业,角色策略,升级,2.9.1,29,2013-10-08 12:17:36,上架,合同签署并登陆,12320943,12114991,cn.com.miq.qsuiko
鬼黑客,sqxiangxin,个人,角色策略,新版本,0.1,1000,2013-10-08 11:15:42,上架,合同签署并登陆,12318735,12318728,air.air.CSYGames
Dota Buff Dota2英雄榜,naclhhn,个人,角色策略,升级,0.6.2013.10.3.1,9,2013-10-04 11:35:43,上架,合同签署并登陆,12319298,12274755,com.sohoq.dotabuff
化神,veer,个人,角色策略,新版本,0.9.4,4,2013-09-30 10:04:07,上架,合同签署并登陆,12311569,12311541,com.dreamstar.dragon
纵横天下,zzcentral,企业,角色策略,升级,2.2,21000,2013-09-28 15:21:33,上架,合同签署信息通过,12308103,11527596,com.mango.sanguo15.douwan.cmge
Dota Buff Dota2英雄榜,naclhhn,个人,角色策略,升级,0.5.2013.9.27.1,8,2013-09-27 19:19:40,上架,合同签署并登陆,12305901,12274755,com.sohoq.dotabuff
魔兽三国,zzcentral,企业,角色策略,升级,3.0,11,2013-09-26 18:33:38,上架,合同签署信息通过,12303910,11519286,com.tuomi.longzhan.cmge
侠盗神偷,tuiguan001,个人,角色策略,新版本,1.1,1001000,2013-09-25 18:09:35,上架,合同签署并登陆,12302022,12301973,air.top.free.fun.game.sssan
勇者使命HeroesWar,APP即时分享,个人,角色策略,升级,1.4.3,1430,2013-09-25 16:01:59,上架,合同已确认并登陆,12301712,12196612,com.com2us.heroeswar.normal.freefull.cmccmm.cn.android.common
策略斗地主,xl523056,企业,角色策略,新版本,4.0.01,4001,2013-09-24 18:13:11,上架,合同签署并登陆,12299564,12299530,com.zhaowei5.mtFightLand
封神争霸,KS_KQC,企业,角色策略,新版本,2.6,14,2013-09-24 13:38:33,上架,合同签署并登陆,12298878,12298769,org.sevenstar.kingofwar
口袋英雄,miqiugame,企业,角色策略,升级,1.3,4,2013-09-18 17:10:37,上架,合同签署并登陆,12281307,12145821,cn.miq.pocketheros
寻秦问道,hdyl_game,企业,角色策略,升级,2.03,16,2013-09-18 13:44:37,上架,合同签署并登陆,12276412,12118993,com.gamemain
寻秦问道,hdyl_game,企业,角色策略,新版本,2.02,15,2013-09-17 14:48:36,上架,合同签署并登陆,12119044,12118993,com.gamemain
?杀神?,掌上明珠,企业,角色策略,升级,2.2,21,2013-09-12 17:22:48,上架,合同签署并登陆,12263198,11208002,com.pip.android.ss
英雄无敌（王者）,happiness0804,企业,角色策略,新版本,1.1.3,1,2013-09-11 16:38:33,上架,合同签署并登陆,12260409,12260399,com.huoys.wzzhyxwd
暗影同盟：部落冲突,veer,个人,角色策略,新版本,0.1.189,315,2013-09-11 15:56:30,上架,合同签署并登陆,12259987,12259975,com.playcomo.orcgame
燃烧的药丸,fanyigongsi,企业,角色策略,新版本,1.0,1,2013-09-09 15:49:49,上架,合同签署并登陆,12244041,12244015,com.fox.qinliugan.sk
淘气猫咪战斗团 | Naughty Kitties,veer,个人,角色策略,升级,2.0.6,17,2013-09-06 16:26:52,上架,合同签署并登陆,12242422,11837960,com.cis.nk
圣将三国OL（专属礼包发放中）,veer,个人,角色策略,新版本,1.60016,160016,2013-09-05 18:09:01,上架,合同签署并登陆,12238579,12238564,com.gamebean.shengjiang.hd.uunion
萌将传奇,zzcentral,企业,角色策略,新版本,2.4,240,2013-09-05 17:52:45,上架,合同签署信息通过,12237855,12237834,com.joygame.loong.temeng.cmge
海绵宝宝的餐厅 | SpongeBob Diner Dash,veer,个人,角色策略,新版本,3.25.3,3,2013-09-05 17:46:43,上架,合同签署并登陆,12239435,12239423,com.playfirst.playground.dinerdashspongebob
纵横天下,zzcentral,企业,角色策略,升级,2.19,20009,2013-09-05 15:42:46,上架,合同签署信息通过,12239073,11527596,com.mango.sanguo15.douwan.cmge
傲气三国,手盟工作室,个人,角色策略,新版本,1.8.1,10,2013-09-04 18:44:47,上架,合同签署并登陆,12234012,12233977,cn.Oleaster.zjs.sm5
丛林激战 | Jungle Heat,veer,个人,角色策略,新版本,1.2.6,19,2013-08-28 15:58:56,上架,合同签署并登陆,12209754,12209733,ru.mail.games.android.JungleHeat
新捕鱼大亨高清HD,njsuncore,企业,角色策略,新版本,1.0.1,9,2013-08-27 17:19:58,上架,合同签署并登陆,12205763,12205677,com.wt.td
问剑江湖,朴红玉,个人,角色策略,新版本,2.0,20,2013-08-27 16:21:40,上架,合同已确认并登陆,12201940,12201863,com.wx.wjjh.cmge
仙剑Q侠传,miqiugame,企业,角色策略,升级,2.8,28,2013-08-27 15:57:41,上架,合同签署并登陆,12205712,12114991,cn.com.miq.qsuiko
萌将传奇,zzcentral,企业,角色策略,升级,2.3,230,2013-08-23 17:45:51,上架,合同签署信息通过,12195581,12108257,com.joygame.loong.meng.cmge
婚姻保卫战,手盟工作室,个人,角色策略,新版本,1.0,1,2013-08-23 16:33:39,上架,合同签署并登陆,12194901,12194895,mobi.shoumeng.hybwzgame
银河创世录,kongzhonggame,企业,角色策略,升级,2.00,20,2013-08-23 16:30:00,上架,合同签署并登陆,12195037,10529341,com.noumena.android.galaxy2cn
新一骑当先,andkl,企业,角色策略,新版本,1.8.0,46,2013-08-22 22:40:42,上架,合同签署并登陆,11863077,11862759,db.xyjdx.uc
暗黑军团,veer,个人,角色策略,新版本,1.0.3,7011,2013-08-22 11:14:18,上架,合同签署并登陆,12190906,12190894,com.backflipstudios.android.aodd
有乐德州扑克,dragons,企业,棋牌游戏,升级,1.5,5,2014-02-14 16:33:33,上架,合同签署并登陆,13478150,12229710,com.youjoy.com
天天玩八张,w11007,企业,棋牌游戏,新版本,1.00.020,100020,2014-01-28 16:14:12,上架,合同签署并登陆,13547605,13547585,com.zengame.ttwbz.p365you
麻将斗地主,lenovomm,个人,棋牌游戏,新版本,1.6,6,2014-01-27 17:42:12,上架,合同签署并登陆,13533071,13533062,com.TongBanStudio.JTDDZ
白金岛三打哈,limsam,企业,棋牌游戏,新版本,1.02,2,2014-01-27 15:16:12,上架,合同签署并登陆,13531756,13531727,cn.limsam.sdh
白金岛跑胡子,limsam,企业,棋牌游戏,新版本,1.01,1,2014-01-27 11:33:13,上架,合同签署并登陆,13528760,13528723,cn.limsam.phz
土豪斗地主,快传官方,企业,棋牌游戏,升级,1.1.0.0,2,2014-01-26 15:25:13,上架,合同签署并登陆,13513925,13021159,com.syezon.ddz
摇摇斗地主,lenovomm,个人,棋牌游戏,升级,3.2,5,2014-01-26 09:35:20,上架,合同签署并登陆,13509798,13413923,com.cgc
单机斗地主,索蓝工作室,企业,棋牌游戏,升级,5.2.2,111,2014-01-21 14:48:41,上架,合同签署并登陆,13468879,12302110,com.og.lenovoddz
紫金岛跑得快,紫金岛,个人,棋牌游戏,升级,1.8,10,2014-01-21 10:08:38,上架,合同签署并登陆,13465523,12131895,game.com.zjdpdk
开心棋牌,zhuomeng,企业,棋牌游戏,新版本,112,19,2014-01-18 18:24:36,上架,合同签署并登陆,13429682,13429619,com.excelliance.kxqp
棋乐马股,世纪阳天,企业,棋牌游戏,新版本,1.2.0.0,16908288,2013-12-04 18:13:09,上架,合同签署并登陆,12572619,12572594,yb_game.MaGuTV
QQ欢乐麻将,luofengxiang,个人,棋牌游戏,新版本,1.0.1,10109,2013-11-23 18:11:52,上架,合同签署并登陆,12588755,12588726,com.qqgame.happymj5
单机斗地主,索蓝工作室,企业,棋牌游戏,升级,5.1.2,108,2013-11-22 18:09:53,上架,合同签署并登陆,12586328,12302110,com.og.lenovoddz
紫金岛三打哈,紫金岛,个人,棋牌游戏,升级,1.8,10,2013-11-20 14:29:07,上架,合同签署并登陆,12573831,11916875,game.com.zjdsdh
纸牌军棋,89254545,企业,棋牌游戏,升级,1.1,2,2013-11-20 14:01:09,上架,合同签署并登陆,12573653,12546569,com.zl.jq
纸牌军棋,89254545,企业,棋牌游戏,新版本,1.0,1,2013-11-20 13:43:04,上架,合同签署并登陆,12546581,12546569,com.zl.jq
玩玩厦门麻将,a2438958,个人,棋牌游戏,新版本,1.0.0,1,2013-11-20 11:47:04,上架,合同签署并登陆,12570068,12570066,com.izhangxin.xmmj.android.wan91
棋乐黄金矿工,世纪阳天,企业,棋牌游戏,升级,1.2.0.0,16908288,2013-11-20 10:39:04,上架,合同签署并登陆,12572636,12310502,yb_game.RockManTV
天天爱玩锄大地,w11007,企业,棋牌游戏,升级,1.00.021,100021,2013-11-20 10:09:05,上架,合同签署并登陆,12572495,12466277,com.zengame.cdd.p365you
久赢老虎机,18583287221,个人,棋牌游戏,新版本,1.0,1,2013-11-20 09:19:04,上架,合同签署并登陆,12534551,12534502,com.joingames.gslots
填大坑,xm_zhanglian,企业,棋牌游戏,升级,1.5.1,10501,2013-11-19 15:25:05,上架,合同签署并登陆,12568830,11778217,com.sz.games.tiandakeng
紫金岛跑得快,紫金岛,个人,棋牌游戏,升级,1.6,7,2013-11-15 15:00:53,上架,合同签署并登陆,12557427,12131895,game.com.zjdpdk
