应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
葡萄游戏厅,jianghla,个人,动作游戏,升级,2.13,140218,2014-02-21 11:00:14,上架,合同已确认并登陆,13810151,13510583,com.putaolab.ptgame
傲视天地,happiness0804,企业,动作游戏,新版本,1.0.4,104,2014-02-12 09:25:19,上架,合同签署并登陆,13698178,13697933,com.phonewoods.astd.fgw
合金弹头,lenovomm,个人,动作游戏,新版本,5.00,5,2014-01-27 15:40:24,上架,合同签署并登陆,13532219,13532198,com.assaultertw
霸三国_英雄联盟2,lenovomm,个人,动作游戏,新版本,12.01.01,120101,2014-01-27 15:04:14,上架,合同签署并登陆,13531440,13531333,com.app.lszb.mm
葡萄游戏厅,jianghla,个人,动作游戏,新版本,2.12,140125,2014-01-26 18:45:14,上架,合同已确认并登陆,13510612,13510583,com.putaolab.ptgame
超音速飞行3D,sonzon,个人,动作游戏,升级,16.34,1634,2014-01-25 16:33:16,上架,合同签署并登陆,13508065,11232390,cn.osaris.turboflyh
天天爱冒险,a903153404,个人,动作游戏,新版本,4.51,451,2014-01-23 11:14:36,上架,合同签署并登陆,13488448,13488408,com.ttapk.runnerk
英雄王座（王者）,6677808,个人,动作游戏,升级,1.1.9,8,2014-01-22 18:18:39,上架,合同签署并登陆,13482230,12851858,com.huoys.wzzhyxwz
亡灵杀手,PunchBox,企业,动作游戏,新版本,2.0.0,20,2014-01-21 10:30:36,上架,合同签署并登陆,13457909,13457848,com.nhncorp.skundeadck
3D暴力摩托-狂野飙车,xiaoao,企业,动作游戏,升级,1.5.07,35,2014-01-10 18:07:59,上架,合同签署并登陆,13219960,11676324,com.sxiaoao.moto3dOnline
飞跃死城,iloveapple8899,个人,动作游戏,新版本,1.1,2,2013-11-25 21:59:58,上架,合同签署并登陆,12598436,12598396,com.feiyuesiche
钓鱼冠军,mysmart,个人,动作游戏,升级,1.2,3,2013-11-25 13:29:54,上架,合同签署并登陆,12597610,12589149,com.smarthand.FishingChampion
僵尸尖叫,liaoxin123,个人,动作游戏,新版本,1.6.32,7,2013-11-24 10:45:54,上架,合同签署并登陆,12588929,12588862,net.mobigame.zombietsunam
影子忍者,xcsiexchange,个人,动作游戏,新版本,1.0,1,2013-11-22 22:34:01,上架,合同签署并登陆,12586830,12586827,com.ninjarunner.activity
绳索逃生,xiaozhi159,个人,动作游戏,新版本,1.03,4,2013-11-22 21:59:52,上架,合同签署并登陆,12584939,12584936,com.appgamess.youxi9
复仇忍者,sorce,个人,动作游戏,新版本,1.1.0,11,2013-11-22 21:44:08,上架,合同签署并登陆,12585715,12585705,com.game.redantz
Zombirds,小天1,个人,动作游戏,新版本,1.13,14,2013-11-18 19:55:06,上架,合同签署并登陆,12564567,12564562,com.appgamess.dzjsn
乐高指环王,demozjw,个人,动作游戏,新版本,1.22,5,2013-11-15 18:59:12,上架,合同签署并登陆,12557058,12556928,com.RetGames.TheLordOfTheRings
肌肉保镖,xiaomeng,个人,动作游戏,新版本,1.1.8,19,2013-11-15 11:52:55,上架,合同签署并登陆,12555531,12555521,com.bikeapril.whackmusclezykj
火车危机,wysdxj,个人,动作游戏,升级,1.0.33,34,2013-11-15 08:32:52,上架,合同签署并登陆,12555251,12273842,com.android.guc.traingame
厨房摩托,wudibin0088,个人,动作游戏,升级,2.1,13,2013-11-14 14:44:59,上架,合同签署并登陆,12553440,12536561,com.aceviral.mentalmouseok
作战指挥官,zonsak,个人,动作游戏,新版本,13.26.53,132653,2013-11-12 18:42:02,上架,合同签署并登陆,12538000,12537833,com.sts.bc
Burst,maoxf,个人,动作游戏,新版本,1.21,4,2013-11-08 16:40:05,上架,合同签署并登陆,12515890,12515878,com.Burst
爆笑八戒-夺命狂飙,wspyxz,个人,动作游戏,新版本,1.0.3,9,2013-11-05 18:15:35,上架,合同签署并登陆,12494018,12493983,com.wt.bajiedx
地铁跑酷,idreamsky,企业,动作游戏,升级,2.11.0,46,2013-11-05 11:05:33,上架,合同签署并登陆,12496281,12368172,com.kiloo.subwaysurf.full
超音速飞行3D,sonzon,个人,动作游戏,升级,1.62,162,2013-11-04 12:25:33,上架,合同签署并登陆,12490451,11232390,cn.osaris.turboflyh
卡车漂移,fanfanfry,个人,动作游戏,新版本,1.0.1,1,2013-10-31 11:37:39,上架,合同签署并登陆,12472724,12472683,com.hezuotruckxin.game
劫你妹,happiness0804,企业,动作游戏,升级,2.7,27,2013-10-29 14:05:58,上架,合同签署并登陆,12466897,12165952,com.wx.tkwan3
