s61, 2014-03-24, 21854, 19086860
s61, 2014-03-25, 21712, 19748432
s61, 2014-03-26, 21724, 18356250
s61, 2014-03-27, 22323, 18728412
s61, 2014-03-28, 26205, 21653997
s61, 2014-03-29, 31514, 27364699
s61, 2014-03-30, 28996, 25153128
s61, 2014-03-31, 23764, 20295239
s61, 2014-04-01, 21548, 18788816
s61, 2014-04-02, 22512, 19229709
s61, 2014-04-03, 23252, 20513954
s61, 2014-04-04, 25255, 22957265
s61, 2014-04-05, 29137, 26809665
s61, 2014-04-06, 31714, 28577199
s61, 2014-04-07, 29401, 24692871
s61, 2014-04-08, 21898, 18093205
a11, 2014-03-01, 57961, 58243185
a11, 2014-03-02, 56964, 54221000
a11, 2014-03-03, 44809, 44088800
a11, 2014-03-04, 43216, 44060379
a11, 2014-03-05, 41552, 43833019
a11, 2014-03-06, 43029, 45759083
a11, 2014-03-07, 46327, 47353648
a11, 2014-03-08, 55798, 54739463
a11, 2014-03-09, 51044, 49315445
a11, 2014-03-10, 40593, 40094772
a11, 2014-03-11, 41688, 41139485
a11, 2014-03-12, 46466, 45817352
a11, 2014-03-13, 41262, 41560031
a11, 2014-03-14, 42504, 42698596
a11, 2014-03-15, 48168, 48031664
a11, 2014-03-16, 48757, 48018916
a11, 2014-03-17, 39861, 39286893
a11, 2014-03-18, 39752, 38864939
a11, 2014-03-19, 40443, 37120894
a11, 2014-03-20, 40810, 39335469
a11, 2014-03-21, 39780, 40307014
a11, 2014-03-22, 49414, 47818137
a11, 2014-03-23, 45858, 45821508
a11, 2014-03-24, 38221, 38531586
a11, 2014-03-25, 44110, 49470336
a11, 2014-03-26, 38652, 38282088
a11, 2014-03-27, 40568, 38904692
a11, 2014-03-28, 43516, 42535698
a11, 2014-03-29, 52578, 50042381
a11, 2014-03-30, 50304, 48209375
a11, 2014-03-31, 42043, 42093754
a11, 2014-04-01, 40016, 39913211
a11, 2014-04-02, 41360, 40941890
a11, 2014-04-03, 39976, 39963769
a11, 2014-04-04, 42301, 42547020
a11, 2014-04-05, 49346, 49929287
a11, 2014-04-06, 49441, 50779526
a11, 2014-04-07, 48996, 48626110
a11, 2014-04-08, 38206, 38234788
