应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
忍者小小鸟,ncfrank88,个人,动作游戏,新版本,1.0,1,2013-03-17 22:34:59,上架,合同签署并登陆,11454561,11454503,com.frank.ninjabird
蔬菜传奇 Vegetable Legend,zoujoo,个人,动作游戏,升级,1.2.0,1002000,2013-02-27 18:30:10,上架,合同签署并登陆,11328426,11145632,com.wangjunyou.Vegetable_Legend
杀手：僵尸之城2 - 起源,veer,个人,动作游戏,新版本,1.1.1,111,2013-02-17 13:53:54,上架,合同签署并登陆,11270143,11270074,com.glu.ckzombies2
鳄鱼快跑,myandroid_zm1,个人,动作游戏,新版本,1.00,100,2013-02-01 16:04:25,上架,合同签署并登陆,11209680,11209676,com.zhang.pidan.runnershighs
超级大卡车,minicliphr,个人,动作游戏,新版本,3.0,3000,2013-02-01 15:30:20,上架,合同签署并登陆,11206178,11206149,com.fishmen.toptruckfree
Vegetable Legend,zoujoo,个人,动作游戏,新版本,1.0.0,1000000,2013-01-22 15:42:10,上架,合同签署并登陆,11145652,11145632,com.wangjunyou.Vegetable_Legend
掘墓人 | Grave Digger,veer,个人,动作游戏,新版本,1.5.3,80,2013-01-16 17:39:35,上架,合同签署并登陆,11101367,11101355,halloween.loopController.free
兔兔快跑,ismartv,企业,动作游戏,升级,1.2.3,123,2013-01-11 10:15:58,上架,合同签署信息通过,11064036,10597432,com.game.gameobstructrun
一把片刀闯天涯 | Dante Zomventure,veer,个人,动作游戏,新版本,1.0.1,1,2013-01-09 14:32:37,上架,合同签署并登陆,11053850,11053844,com.boxitsoftcasual.dantezomventure
僵尸快跑,kyousd,个人,动作游戏,新版本,1000,1000,2013-01-07 01:30:42,上架,合同签署并登陆,11040503,11040486,yoyo.zom
奶奶逃脱辐射城,he0652,个人,动作游戏,新版本,1.1.1,4,2013-01-05 10:48:56,上架,合同签署并登陆,11031591,11031585,com.aceviral.agrr1
龙虎之拳,hsraaa,个人,动作游戏,新版本,1.00,1,2012-12-31 09:28:41,上架,合同签署并登陆,11010855,11010850,com.azyouxi.quanwangt
宝藏猎人,ouyangdeliou,个人,动作游戏,新版本,1.0.0,2,2012-12-29 13:16:34,上架,合同签署并登陆,11001367,11001349,com.divmob.treasurehunter
猫狗大战,he0652,个人,动作游戏,新版本,1.1.4,5,2012-12-28 14:08:11,上架,合同签署并登陆,10994386,10994379,com.gamefactory.catvsdogfree1
弹弹堂疯狂火炮,fewsteve,个人,动作游戏,新版本,1.28,28,2012-12-26 13:03:46,上架,合同签署并登陆,10978547,10978539,com.etgame.tom.pkgodofwar1
神秘星球最后之战,veer,个人,动作游戏,新版本,1.2.1,20120727,2012-12-21 15:18:03,上架,合同签署并登陆,10958853,10958832,com.timel.game.finalbattle
跳跳墙,mopan123,个人,动作游戏,新版本,1.0.6,7,2012-12-20 18:24:22,上架,合同签署并登陆,10936119,10936062,net.sunflat.android.papiwall
悠嘻猴宠物岛,u1u1,企业,动作游戏,升级,1.05,3,2012-12-18 09:58:09,上架,合同签署并登陆,10932790,10883832,com.NPlus3D.YociArcher
兔兔快跑,ismartv,企业,动作游戏,升级,1.2.2,122,2012-12-17 20:18:07,上架,合同签署信息通过,10937417,10597432,com.game.gameobstructrun
悠嘻猴宠物岛,u1u1,企业,动作游戏,升级,1.0.4,2,2012-12-12 17:29:19,上架,合同签署并登陆,10913084,10883832,com.NPlus3D.YociArcher
兔兔快跑,ismartv,企业,动作游戏,升级,1.1.2,112,2012-12-07 17:41:18,上架,合同签署信息通过,10895141,10597432,com.game.gameobstructrun
超炫别动队 | Team Awesome,veer,个人,动作游戏,新版本,1.0.1,4,2012-12-05 16:10:05,上架,合同签署并登陆,10885357,10885328,com.ezone.TeamAwesome
Angry Boyfriend,ncfrank88,个人,动作游戏,新版本,1.0,1,2012-11-27 12:24:55,上架,合同签署并登陆,10841715,10841705,com.angry.boyfriend
暗影枪神THD,wangxinqi678,个人,动作游戏,升级,1.1.2,11000220,2012-11-13 13:31:56,上架,合同签署并登陆,10782658,10113196,com.madfingergames.shadowgun_thd
?忍者龙剑传?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:08:31,上架,合同签署并登陆,10723970,10723958,com.androidemu.harverenlong
?圆桌武士?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:08:28,上架,合同签署并登陆,10724023,10724012,com.androidemu.harveyuanzhuows
?侍魂?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:08:24,上架,合同签署并登陆,10724010,10723971,com.androidemu.harveshihun
?龙王?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:06:27,上架,合同签署并登陆,10723937,10723922,com.androidemu.harvelongwang
