应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
?洛克人Ⅲ?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:02:29,上架,合同签署并登陆,10723899,10723897,com.androidemu.harveluokeren3
?恐龙战队?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 18:00:22,上架,合同签署并登陆,10723892,10723885,com.androidemu.harvekonglzd
?超级街头霸王Ⅱ?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 17:48:34,上架,合同签署并登陆,10723819,10723812,com.androidemu.harvespjb2
?冒险岛4?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 17:48:33,上架,合同签署并登陆,10723710,10723695,com.androidemu.harvemaoxiandao4
?双截龙3?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 17:48:21,上架,合同签署并登陆,10723723,10723712,com.androidemu.harveshuangjl3
?双截龙1?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 17:42:26,上架,合同签署并登陆,10723675,10723667,com.androidemu.harveshuangjl1
?冒险岛2?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-02 17:36:33,上架,合同签署并登陆,10723586,10723578,com.androidemu.harvemaoxiandao2
地下城英雄-暗黑王朝,tommobile,企业,动作游戏,升级,1.29,29,2012-11-02 10:09:25,上架,合同签署并登陆,10714258,10418116,com.zy.tom.pkdxcyx
?洛克人Ⅱ?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 13:23:16,上架,合同签署并登陆,10723896,10723895,com.androidemu.harveluokeren2
?电精?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 13:17:07,上架,合同签署并登陆,10723884,10723875,com.androidemu.harvedianjing
?忍者神龟Ⅳ?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 12:56:18,上架,合同签署并登陆,10723845,10723842,com.androidemu.harverenzhesg4
?双截龙2?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 11:11:54,上架,合同签署并登陆,10723683,10723678,com.androidemu.harveshuangjl2
?快打旋风3?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 10:43:26,上架,合同签署并登陆,10723577,10723572,com.androidemu.harvekuaida3
?快打旋风1?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 10:37:51,上架,合同签署并登陆,10723569,10723547,com.androidemu.harvekuaida1
?冒险岛1?,harveemu,个人,动作游戏,新版本,2.75,275,2012-11-01 10:22:36,上架,合同签署并登陆,10723502,10723476,com.androidemu.harvemaoxiandao1
罪恶都市 | Crime City,veer,个人,动作游戏,升级,3.0.1,70,2012-10-31 16:51:25,上架,合同签署并登陆,10720297,10037331,com.funzio.crimecity
江南Style劲舞团,yaalygame,个人,动作游戏,新版本,1.0.1,2,2012-10-25 22:35:36,上架,合同签署并登陆,10685021,10684975,dance.style.lite.hd
小小传奇-狂战士 | TinyLegends - Crazy Knight,veer,个人,动作游戏,新版本,1.0,1,2012-10-12 14:37:21,上架,合同签署并登陆,10604819,10604814,com.trinitigame.android.tlck
跑跑跳2,jinsinuo,个人,动作游戏,新版本,4.51,451,2012-10-11 16:14:38,上架,合同签署并登陆,10598264,10598254,leo.jumphigh.runnershigh
正义联盟 | Justice League:EFD,veer,个人,动作游戏,新版本,1.0.0,10,2012-10-11 14:49:12,上架,合同签署并登陆,10597974,10597959,com.cjenm.justiceleague_google
地牢猎手2,jianghla,个人,动作游戏,新版本,1.0.0,100,2012-10-09 11:02:01,上架,合同已确认并登陆,10585097,10585029,com.gameloft.TVS52.GAND.GloftD2HP
泡泡忍者,ncfrank88,个人,动作游戏,新版本,1.5,6,2012-10-08 16:21:14,上架,合同签署并登陆,10582681,10582677,com.game.bubblesninja
星球大战之超级英雄回归,gpworks,个人,动作游戏,新版本,1.01,2,2012-09-24 14:34:40,上架,合同签署并登陆,10561792,10561777,com.kuguo.starwar.google
迷你英雄,gpworks,个人,动作游戏,新版本,1.01,2,2012-09-17 12:46:17,上架,合同签署并登陆,10529069,10528923,com.trinitigame.comsniper
波斯王子经典版 | Prince of Persia Classic,veer,个人,动作游戏,新版本,1.0,1,2012-09-14 09:16:11,上架,合同签署并登陆,10519275,10519274,org.ubisoft.premium.POPClassic
失落灵魂之夜 | Soulless Night,veer,个人,动作游戏,新版本,1.3,4,2012-09-13 14:14:10,上架,合同签署并登陆,10515616,10515595,com.Nets.Soulless_Night
斯巴达：战神,gpworks,个人,动作游戏,新版本,1.0,1,2012-09-09 10:07:06,上架,合同签署并登陆,10494739,10494677,com.kuguo.SponsorPay.game
瞎子忍者跑酷,gpworks,个人,动作游戏,新版本,1.0.2,102,2012-09-07 10:38:07,上架,合同签署并登陆,10478074,10478050,com.EggBones.BlindNinja
热血格斗 Further Beyond Fighting,veer,个人,动作游戏,新版本,1.1.3,8,2012-09-05 11:46:16,上架,合同签署并登陆,10473645,10473635,com.PJSCoding.FBF
直升机空战 C.H.A.O.S,veer,个人,动作游戏,新版本,5.0.3,19,2012-09-04 14:40:18,上架,合同签署并登陆,10469195,10469135,com.skyjetinter.chaoslite
血之荣耀官方中文版 | BLOOD & GLORY NR,veer,个人,动作游戏,新版本,1.1.7,117,2012-09-04 14:20:23,上架,合同签署并登陆,10469048,10469016,com.glu.gladiator_cn
战斗机器人 | Battle Robots!,veer,个人,动作游戏,升级,1.2.1,4,2012-08-31 10:22:17,上架,合同签署并登陆,10459637,10368852,jp.colopl.fighting_en
欢乐对对碰,sinyee_android,企业,动作游戏,升级,3.71,31,2012-08-23 16:06:21,上架,合同签署并登陆,10427809,10021435,com.sinyee.babybus.match
极速逃生-密室,developer5608,个人,动作游戏,升级,1.2.3,123,2012-08-19 20:24:36,上架,合同已确认并登陆,10410380,54822,speed.escape.universal.free
明朝这些年,4399shouyou,企业,角色策略,新版本,1.0.9.0,1090,2013-03-20 18:33:34,上架,合同签署并登陆,11476775,11476726,com.aiyou.mczxn
口袋英雄,人人游戏,企业,角色策略,新版本,3.1.0,3001000,2013-03-12 16:04:40,上架,合同签署并登陆,11417581,11417552,air.com.imop.game.heroapk
?杀神?-3D万人精品,掌上明珠,企业,角色策略,升级,1.7,16,2013-03-01 21:44:20,上架,合同签署并登陆,11340706,11208002,com.pip.android.ss
嗜血狂龙,fddg345,个人,角色策略,升级,2.63,51,2013-02-27 10:30:13,上架,合同签署并登陆,11325425,10436346,com.bringmore.DeeathWorm
帝国塔防II[季节版],goodteam,企业,角色策略,升级,1.0.2,3,2013-02-27 09:58:11,上架,合同签署信息通过,11323284,10959293,gts.td2.am.full.cnlx
4人佣兵团 | Guns 4 Hire,veer,个人,角色策略,新版本,1.4.2,7,2013-02-17 13:53:51,上架,合同签署并登陆,11270157,11270144,com.rebellion.guns4hire
幻想精灵,denachina,企业,角色策略,升级,2.1.1,12,2013-02-05 17:55:58,上架,合同签署信息通过,11231180,10459762,cn.mobage.g13000204
?杀神?,掌上明珠,企业,角色策略,升级,1.6,14,2013-02-01 15:00:32,上架,合同签署并登陆,11209194,10352554,com.pip.ss
?杀神-春节好礼,掌上明珠,企业,角色策略,新版本,1.6.1,15,2013-02-01 11:29:50,上架,合同签署并登陆,11208200,11208002,com.pip.android.ss
三国大富翁,深圳掌中酷柚,企业,角色策略,升级,1.0.4,4,2013-01-28 17:43:41,上架,合同签署并登陆,11170169,10548423,com.koogame.RichGL
幻想精灵,denachina,企业,角色策略,升级,2.1.0,11,2013-01-28 17:36:16,上架,合同签署信息通过,11180033,10459762,cn.mobage.g13000204
名将决,yyfarm,个人,角色策略,升级,1.37,1371,2013-01-18 11:58:08,上架,合同已确认并登陆,11114761,10393490,com.sq.sanguo
轩辕剑?,掌上明珠,企业,角色策略,升级,2.7,31,2013-01-17 15:42:14,上架,合同签署并登陆,11108747,10549197,shaft.CCCCACCY
忍者天下,denachina,企业,角色策略,升级,1.0.4.3,9,2013-01-16 17:19:45,上架,合同签署信息通过,11098974,10891405,cn.mobage.g12000108
幻想精灵,denachina,企业,角色策略,升级,2.0.4,10,2013-01-14 15:51:22,上架,合同签署信息通过,11086520,10459762,cn.mobage.g13000204
上古世界,美峰数码科技有限公司,企业,角色策略,新版本,2.5.10,1,2013-01-10 13:37:16,上架,合同签署信息通过,11060224,11059993,org.mf.sgwd
猫狗大战 | Cat War,veer,个人,角色策略,新版本,1.8,18,2013-01-09 14:34:40,上架,合同签署并登陆,11053916,11053906,com.westriversw.CatWar
行尸走肉:活死人之地,veer,个人,角色策略,新版本,1.0.6,1000006,2013-01-07 13:24:44,上架,合同签署并登陆,11042994,11042983,air.amc.deadreckoning
极限的躲球,fewsteve,个人,角色策略,新版本,9.2,48,2013-01-04 11:10:42,上架,合同签署并登陆,11026570,11026567,cn.zyj.Game1
英雄角斗场,fireflygame,个人,角色策略,新版本,1.0,1,2012-12-28 18:34:46,上架,合同签署并登陆,10996300,10996289,com.m3java.braveheart
?杀神?,掌上明珠,企业,角色策略,升级,1.5,12,2012-12-27 18:30:35,上架,合同签署并登陆,10988204,10352554,com.pip.ss
帝国塔防II,goodteam,企业,角色策略,新版本,1.0.0,1,2012-12-26 10:09:45,上架,合同签署信息通过,10959343,10959293,gts.td2.am.full.cnlx
幻想精灵,denachina,企业,角色策略,升级,2.0.3,9,2012-12-25 17:39:50,上架,合同签署信息通过,10973786,10459762,cn.mobage.g13000204
帝王.三国经典版,帝王三国OL,企业,角色策略,新版本,v1.35.1101,20,2012-12-25 17:14:04,上架,合同签署并登陆,10968792,10968641,com.gamebox.kinglx
帝王.三国PAD,帝王三国OL,企业,角色策略,新版本,v1.35.1101,20,2012-12-25 17:14:02,上架,合同签署并登陆,10968887,10968836,com.gamebox.kinglx.pad
帝王.三国高清版,帝王三国OL,企业,角色策略,新版本,v1.35.1101,20,2012-12-25 17:13:56,上架,合同签署并登陆,10969239,10969156,com.gamebox.kinglxHD
星际塔防,imohoo,企业,角色策略,新版本,2.0,1,2012-12-17 09:58:44,上架,合同签署信息通过,10933977,10933948,com.imohoo.StarTD
英雄战魂（原名：战魂OL）,eglsbj,企业,角色策略,升级,1.04.06,34,2012-12-13 16:47:02,上架,合同签署并登陆,10916518,10516505,com.g2us.armedwarriors
?明珠轩辕?,掌上明珠,企业,角色策略,升级,2.6,29,2012-12-05 13:20:07,上架,合同签署并登陆,10884736,10549197,shaft.CCCCACCY
黄金军团 | OutFight Gold,veer,个人,角色策略,新版本,1.0,22111803,2012-11-30 14:11:03,上架,合同签署并登陆,10855790,10855782,com.panoramik.outfightgold
乱世天下,人人游戏,企业,角色策略,新版本,1.3.233,13233,2012-11-27 16:42:57,上架,合同签署并登陆,10842885,10842863,com.renren.and10101
名将决,yyfarm,个人,角色策略,升级,1.36,1360,2012-11-22 11:35:33,上架,合同已确认并登陆,10822911,10393490,com.sq.sanguo
银河创世录,kongzhonggame,企业,角色策略,升级,1.01,3,2012-11-16 11:30:37,上架,合同签署并登陆,10799242,10529341,com.noumena.android.galaxy2cn
画个火柴人,fewsteve,个人,角色策略,新版本,1.0.0,1,2012-11-15 13:06:37,上架,合同签署并登陆,10794489,10794472,com.hitcents.stickmanepic
九英雄大战僵尸党,mingtian2,个人,角色策略,新版本,1.0,2,2012-11-13 22:27:17,上架,合同签署并登陆,10784879,10784760,com.ninefactory.nineheroesen
斯巴达复仇者战争,Yelinlinxiu,个人,角色策略,新版本,1.03,3,2012-11-09 10:29:51,上架,合同签署并登陆,10763080,10763076,com.kuguo.google.sparta2.game
?重装机兵Ⅱ?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-02 17:56:25,上架,合同签署并登陆,10723856,10723854,com.androidemu.harvesfcmm2
?火焰纹章-圣战系谱?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-02 17:54:28,上架,合同签署并登陆,10723836,10723833,com.androidemu.harvewzshengzh
?吞食天地?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-02 17:48:28,上架,合同签署并登陆,10723746,10723737,com.androidemu.harvetunshi
?火焰纹章-纹章外传?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-02 17:30:32,上架,合同签署并登陆,10723468,10723460,com.androidemu.harvewenzhangwz
?火焰纹章-多拉基亚776?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-01 13:38:49,上架,合同签署并登陆,10723920,10723908,com.androidemu.harvehuowen776
?最终幻想Ⅴ?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-01 13:06:33,上架,合同签署并登陆,10723865,10723858,com.androidemu.harvezuizhong5
?勇者斗恶龙Ⅲ?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-01 13:01:51,上架,合同签署并登陆,10723853,10723846,com.androidemu.harvedragon3
?火焰纹章-纹章之谜?,harveemu,个人,角色策略,新版本,2.75,275,2012-11-01 12:54:01,上架,合同签署并登陆,10723841,10723837,com.androidemu.harvehuowenwzzm
屌丝的幸福生活,hwkj,企业,角色策略,新版本,1.0.0,1,2012-10-23 17:39:31,上架,合同签署并登陆,10672216,10672208,com.hangwei.zcsh
松饼骑士,addgames,个人,角色策略,新版本,2.3,3000,2012-10-21 23:11:34,上架,合同签署并登陆,10663375,10663299,com.mobilegame.muffinknight
狂野之血（含数据包）,veer,个人,角色策略,新版本,1.0.7,107,2012-10-10 13:33:12,上架,合同签署并登陆,10590434,10590425,com.gameloft.android.ANMP.GloftWBHM
名将决,yyfarm,个人,角色策略,升级,1.31,1310,2012-09-29 09:21:10,上架,合同已确认并登陆,10577119,10393490,com.sq.sanguo
名将决,yyfarm,个人,角色策略,升级,1.22,1220,2012-09-24 15:08:36,上架,合同已确认并登陆,10561922,10393490,com.sq.sanguo
三国大富翁,深圳掌中酷柚,企业,角色策略,新版本,1.0,0,2012-09-24 10:14:57,上架,合同签署并登陆,10548428,10548423,com.koogame.RichGL
轩辕剑-天之痕外传(末日版),掌上明珠,企业,角色策略,新版本,2.4,21,2012-09-21 16:18:25,上架,合同签署并登陆,10549212,10549197,shaft.CCCCACCY
保卫钓鱼岛,veer,个人,角色策略,新版本,1.0,1,2012-09-20 09:34:22,上架,合同签署并登陆,10535123,10535113,com.zqgame.defenddiaoyuislands
企鹅飞飞,zgs121,个人,角色策略,升级,2.5.6,256,2012-09-17 09:26:14,上架,合同签署并登陆,10528280,10469965,com.topfreegames.peeenguinfree2
文明复兴,mosoga,企业,角色策略,升级,2.1,10,2012-09-13 14:22:28,上架,合同签署并登陆,10515655,10013158,com.glee.knight.glee
帝王.三国PAD,帝王三国OL,企业,角色策略,升级,v1.35.0901,18,2012-09-12 15:54:10,上架,合同签署并登陆,10512617,10017462,com.gamebox.king.pad
全面战争：幕府将军 | Total War Battles,veer,个人,角色策略,新版本,1.0,30,2012-09-06 17:03:57,上架,合同签署并登陆,10479181,10479175,com.sega.twbshogun
钉子户大战拆迁队,ender20,个人,角色策略,新版本,3.2,14,2012-08-23 10:18:36,上架,合同签署信息通过,10417246,10417238,com.rainbow.DingAD2
指尖三国,人人游戏,企业,棋牌游戏,新版本,2.0.1,2000001,2013-03-12 16:04:42,上架,合同签署并登陆,11417596,11417583,air.com.imop.game.sg3android
麻將探險之旅HD,colinhebe,企业,棋牌游戏,新版本,1.4.5,75,2013-02-06 19:07:43,上架,合同签署并登陆,11201123,11201020,com.lvjiaxi.mj
博雅广东麻将,mopanshidai,企业,棋牌游戏,新版本,1.0.0,1,2013-01-24 16:12:19,上架,合同签署并登陆,11161239,11161205,com.boyaa.gdmj
经典纸牌,liuyuqin,个人,棋牌游戏,新版本,1.0,1,2012-12-29 16:52:43,上架,合同签署并登陆,11002514,11002502,com.beer.solitaire
空当接龙,liuyuqin,个人,棋牌游戏,新版本,1.0,1,2012-12-29 16:16:38,上架,合同签署并登陆,11002401,11002374,com.beer.freecell
泡妞大玩家,天谷讯信,个人,棋牌游戏,升级,2.9.2,4,2012-12-07 19:20:02,上架,合同签署并登陆,10895472,10829190,com.lamamobile.winneriapppay
罗马努斯2,ShuangLing,个人,棋牌游戏,新版本,1.0,1,2012-11-11 18:13:38,上架,合同签署并登陆,10774516,10774515,com.populusromanus.britannia_free
二人麻将,jianghla,个人,棋牌游戏,新版本,1.0.4,104,2012-09-20 19:16:40,上架,合同已确认并登陆,10545450,10545427,com.axiaoao.iptvmj2
水果王中王,szdenny,个人,棋牌游戏,升级,4.1.0,4,2012-09-05 17:54:18,上架,合同签署并登陆,10473572,10466785,com.green.world.fruit.wangzhongwang
赢话费斗地主,mingyouwangluo,个人,棋牌游戏,升级,1.2.2,6,2012-09-04 10:16:27,上架,合同签署并登陆,10463707,10141148,com.mykj.game.ddz
趣味麻将,dongxin001,企业,棋牌游戏,升级,1.4,5,2012-08-31 10:12:17,上架,合同签署并登陆,10449324,10090406,com.picktech.game.mjworld.mainchen
赢话费斗地主,mingyouwangluo,个人,棋牌游戏,升级,1.2.1,4,2012-08-24 10:28:27,上架,合同签署并登陆,10423390,10141148,com.mykj.game.ddz
火柴开门,zhangyk198,个人,棋牌游戏,新版本,1.0.0,1,2012-08-22 09:13:11,上架,合同签署并登陆,10421795,10421789,com.handjoys.Mat
愤怒的小鸟太空版,veer,个人,射击游戏,升级,1.4.0,1400,2013-02-17 15:05:44,上架,合同签署并登陆,11270754,10019068,com.rovio.angrybirdsspace.ads
致命伤害,playlgamepk,个人,射击游戏,新版本,3.3,303,2013-02-07 11:31:43,上架,合同签署并登陆,11240802,11240701,com.wanjiantao.mayhero
二战指挥官,kboy,个人,射击游戏,新版本,2.0,7,2013-02-07 10:11:46,上架,合同签署并登陆,11240583,11240539,com.gamebuild.littlesoldiers
太空侵略者:异形战争,happybluefin,个人,射击游戏,新版本,1.0.6,106,2013-01-30 11:39:52,上架,合同签署并登陆,11193032,11193019,com.happybluefin.galaxyinvader
金牌狙击手,fddg345,个人,射击游戏,新版本,4.1.15,2,2013-01-23 17:22:20,上架,合同签署并登陆,11154266,11154210,ru.coder1cv8.snniperfull
射击俱乐部 2：狙击,minicliphr,个人,射击游戏,新版本,3.0,3000,2013-01-19 06:46:10,上架,合同签署并登陆,11120534,11120529,ru.shootingman.snipersim
空中霸王 | Sky Gamblers: Rise of Glory,veer,个人,射击游戏,新版本,1.5.5,21,2013-01-18 10:46:07,上架,合同签署并登陆,11114158,11114071,com.namcobandaigames.riseofglory
阻止机器人,mobilegame,个人,射击游戏,新版本,1.0.1,2,2013-01-13 13:06:41,上架,合同签署并登陆,11078634,11078596,com.mini.protector
线上小小鸟,小天1,个人,射击游戏,新版本,1.0.0,10000,2013-01-11 17:48:50,上架,合同签署并登陆,11066794,11066607,com.g.birdsonwire
空战,kyousd,个人,射击游戏,新版本,3,3,2013-01-07 02:06:41,上架,合同签署并登陆,11040585,11040575,com.rainbow.Plane
手枪,xcsiexchange,个人,射击游戏,新版本,1.0,1,2013-01-06 13:32:41,上架,合同签署并登陆,11037235,11037220,com.gama.handgun
致命枪手,playlgamepk,个人,射击游戏,新版本,3.2.1,321,2012-12-29 16:00:35,上架,合同签署并登陆,11002290,11002211,com.cjyouxi.mayhero
致命枪火,mobilegame,个人,射击游戏,新版本,3.0,300,2012-12-29 11:34:34,上架,合同签署并登陆,11000706,11000664,com.minicliphr.mayhero
海洋后卫,labagou,个人,射击游戏,新版本,1.0.1,2,2012-12-29 10:06:37,上架,合同签署并登陆,10999976,10999951,com.tgb.md2
左轮枪,ncfrank88,个人,射击游戏,新版本,1.0,1,2012-12-21 20:00:04,上架,合同签署并登陆,10959665,10959663,com.gama.revolverpro
飞机领航,a2530786717,个人,射击游戏,新版本,1.2.2,1111124,2012-12-21 13:37:59,上架,合同签署并登陆,10958399,10958398,uk.co.bigfungames.android.flightfrenzy.kkggfhfhgk2j1604k
超级突击队 | UberStrike: The FPS,veer,个人,射击游戏,新版本,4.3.10,3,2012-12-20 10:20:06,上架,合同签署并登陆,10953155,10953141,com.cmune.uberstrike.android
空中指挥官 | Turret Commander,veer,个人,射击游戏,新版本,1.01,2,2012-12-19 16:38:10,上架,合同签署并登陆,10949752,10949708,com.kylinworks.AirShooter
星际守护者4 | Star Defender 4,veer,个人,射击游戏,新版本,1.83.0,2,2012-12-10 15:58:08,上架,合同签署并登陆,10906577,10906561,awem.libsdl.app.sd4
野人射击,afegames,个人,射击游戏,新版本,1.0,1,2012-12-06 18:26:02,上架,合同签署并登陆,10891691,10891680,com.afegames.wildarchery
被解放的迪亚戈 | Django’s Bounty Hunter 1800,veer,个人,射击游戏,新版本,0.9.5,9005,2012-11-30 13:39:06,上架,合同签署并登陆,10855798,10855791,air.com.weinsteincompany.bountyHunter1800
方块人塔防 | Cubemen,veer,个人,射击游戏,新版本,1.22,1,2012-11-30 13:29:09,上架,合同签署并登陆,10855766,10855758,com.threesprockets.cubemen
枪打小鸟,afegames,个人,射击游戏,新版本,1.0,1,2012-11-29 12:08:55,上架,合同签署并登陆,10850436,10850434,com.funnygames.shootbirds
扔飞刀,afegames,个人,射击游戏,新版本,1.0,1,2012-11-29 11:54:55,上架,合同签署并登陆,10850417,10850414,net.cabinet.dartsthrow
合金装备:外天堂 | Metal Gear: Outer Heaven,veer,个人,射击游戏,新版本,1.0,1,2012-11-28 15:00:56,上架,合同签署并登陆,10847459,10847430,com.Davidamado.MetalGearfangame
射击俱乐部 2,minicliphr,个人,射击游戏,新版本,3.0,3000,2012-11-23 16:25:00,上架,合同签署并登陆,10828822,10828765,ru.minicliphr.snipersim
致命枪火 HD,minicliphr,个人,射击游戏,新版本,3.0,300,2012-11-16 10:30:35,上架,合同签署并登陆,10798924,10798852,com.miniclip.mayhem
愤怒的小鸟太空版,veer,个人,射击游戏,升级,1.3.2,1320,2012-11-09 19:31:14,上架,合同签署并登陆,10765723,10019068,com.rovio.angrybirdsspace.ads
万圣节大战,lieco621,个人,射击游戏,新版本,1.0.0,1,2012-11-08 17:17:49,上架,合同签署并登陆,10757246,10757244,com.lieco.HalloweenShoot
战地英雄,ismartv,企业,射击游戏,新版本,1.0.7,107,2012-11-08 13:59:30,上架,合同签署信息通过,10744086,10744059,com.cvte.game.bfhero
?雷电?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-02 18:02:21,上架,合同签署并登陆,10723894,10723893,com.androidemu.harveleidian
?沙罗曼蛇3?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-02 17:38:28,上架,合同签署并登陆,10723666,10723657,com.androidemu.harveshaluoms3
?赤色要塞?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-02 17:36:37,上架,合同签署并登陆,10723627,10723621,com.androidemu.harvechise
?中东战争?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-02 17:36:22,上架,合同签署并登陆,10723619,10723608,com.androidemu.harvezhongdong
?超时空要塞?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-01 13:12:31,上架,合同签署并登陆,10723874,10723869,com.androidemu.harvechaoskys
?坦克大战?,harveemu,个人,射击游戏,新版本,2.75,275,2012-11-01 10:28:00,上架,合同签署并登陆,10723518,10723507,com.androidemu.harvetanke
