应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
永恒勇士ETERNITYWARRIORS,veer,个人,动作游戏,新版本,2.2.0,220,2012-08-14 16:58:13,上架,合同签署并登陆,10392969,10392948,com.glu.android.warriors
劳拉：光之守卫者,FairyTail,个人,动作游戏,新版本,1.2.284920,1286920,2012-08-14 09:26:20,上架,合同签署并登陆,10374423,10374412,com.squareenix.laracroft
全面回忆-第一章,gpworks,个人,动作游戏,新版本,1.0,10,2012-08-10 10:19:26,上架,合同签署并登陆,10376710,10376667,com.gcmmtp.trecallep1
僵尸爱吃鸡,qwe202,个人,动作游戏,新版本,1.0.2,3,2012-07-23 15:59:47,上架,合同签署并登陆,10320660,10320654,com.zombies.jump
3D过山车【高清版】,koforandroid,个人,动作游戏,新版本,2.1.1,9,2012-07-19 11:26:27,上架,合同签署并登陆,10246666,10246601,com.digitalchocolat.rollnyfull
铅笔射手,fswd,个人,动作游戏,新版本,2.1,21,2012-07-17 09:57:58,上架,合同已确认并登陆,10269835,10269818,com.gx.shooterdk
丽莉的冒险 3D  Lilli Adventures 3D,xxx,个人,动作游戏,新版本,1.0,36,2012-07-09 15:36:46,上架,合同已确认并登陆,10237700,10237675,com.WaldschratStudios.LilliAdventures3D
罪恶都市,veer,个人,动作游戏,升级,2.0.4,51,2012-06-07 13:34:26,上架,合同签署并登陆,10135878,10037331,com.funzio.crimecity
基因实验室,Justin,个人,动作游戏,新版本,1.6,6,2012-05-30 00:46:39,上架,合同签署并登陆,10103631,10103629,com.frontstudios.genelabs
划线篮球1.2.7,cuizhide,个人,动作游戏,升级,1.2.7,20,2012-05-25 10:27:08,上架,合同签署信息通过,10085563,10037418,com.iopixel.basketball2
森林跑跑熊,muzhiwan0,个人,动作游戏,升级,2.3.0,23,2012-05-25 10:04:34,上架,合同签署并登陆,10085008,10004942,com.jb.spikeBear
太空司令,ivy-xin,个人,动作游戏,新版本,@7F050001,9,2012-05-24 19:41:31,上架,合同签署并登陆,10082482,10082481,com.h9kdroid.astrocommander
冰河世纪1.2,wangxinqi678,个人,动作游戏,新版本,1.2,12,2012-05-24 19:28:19,上架,合同签署并登陆,10083846,10083844,devil.iceage.activity
板球国际商会,Justin,个人,动作游戏,新版本,0.0.14,14,2012-05-24 19:16:01,上架,合同签署并登陆,10083620,10083619,com.javaground.g1.icc_t20_2010
飞机领航员,Justin,个人,动作游戏,新版本,1.2.0,120,2012-05-24 19:08:08,上架,合同签署并登陆,10083646,10083645,uk.co.bigfungames.android.flightfrenzy.lite2
有何不同(儿童)1.4.1,junjun,个人,动作游戏,新版本,1.4.1,20,2012-05-24 19:02:07,上架,合同签署并登陆,10083864,10083863,com.remarkable.whatsdifferentfull
钢铁蠕虫1.0.2,junjun,个人,动作游戏,新版本,1.0.2,102,2012-05-24 18:56:06,上架,合同签署并登陆,10083768,10083767,com.the10tons.ironworm.free
极致桌球1.0.2,ivy-xin,个人,动作游戏,新版本,1.0.2,3,2012-05-24 18:51:05,上架,合同签署并登陆,10083692,10083690,com.friendlymonster.totalpool
骷髅士兵塔防V1.0.4,wangxinqi678,个人,动作游戏,新版本,1.0.4,6,2012-05-24 17:50:21,上架,合同签署并登陆,10082677,10082676,com.sas.NecroDefence
大嘴蛙1.0.0,junjun,个人,动作游戏,新版本,@7F06001E,1000000,2012-05-24 17:36:04,上架,合同签署并登陆,10082402,10082400,air.com.iclockwork.frogmunchcn
泄愤小游戏:图钉男人v1.4,ivy-xin,个人,动作游戏,新版本,1.4,5,2012-05-24 17:26:34,上架,合同签署并登陆,10083266,10083265,uk.co.cwd.pinman
贪婪的海兽1.0.0,Justin,个人,动作游戏,新版本,1.0.0,1,2012-05-24 15:21:07,上架,合同签署并登陆,10082288,10082287,burplingsfull.reznic.net
滑翔纸飞机1.6,alan_zhou123,个人,动作游戏,新版本,1.6,11,2012-05-24 13:57:48,上架,合同签署并登陆,10082048,10082047,com.boolbalabs.paperjetfull
原始破冰者V1.16,junjun,个人,动作游戏,新版本,1.16,19,2012-05-24 13:57:22,上架,合同签署并登陆,10082040,10082039,com.entwicklerx.icecrush
迷你宠物1.2.0,ivy-xin,个人,动作游戏,新版本,1.2.0,8,2012-05-23 13:26:00,上架,合同签署并登陆,10073172,10073171,com.miniclip.animalshelter
僵尸满屋  Zombie Lane,xxx,个人,动作游戏,升级,1.0.17,1017,2012-05-22 10:54:27,上架,合同已确认并登陆,10049518,10046957,com.dchoc
物理平衡  Chalk Caps,xxx,个人,动作游戏,升级,1.4,5,2012-05-16 14:33:36,上架,合同已确认并登陆,10045587,10038107,com.chalk.caps
异形入侵汉化版,lee2012lee,个人,动作游戏,新版本,1.9,14,2012-05-15 15:53:11,上架,合同签署并登陆,10035319,10035310,com.gamefang.game.Aliens
僵尸快打  Zombie Flick,xxx,个人,动作游戏,新版本,1.0,1,2012-05-15 14:22:11,上架,合同已确认并登陆,10042254,10042245,com.fullfat.android.zombieflick
3D纽约过山车,xxx,个人,动作游戏,升级,1.4,14,2012-05-11 18:13:27,上架,合同已确认并登陆,10036934,10009539,com.digitalchocolate.rollnyfull
视觉轨道1.0,muzhiwan0,个人,动作游戏,升级,2.0,4,2012-05-11 17:48:53,上架,合同签署并登陆,10039634,10000861,com.galakau.veloxfull
自行车暴走1.0.2,xxx,个人,动作游戏,升级,1.1.1,11,2012-05-11 17:32:04,上架,合同已确认并登陆,10039792,10014794,com.spicysoft.charisodx
海底总动员,muzhiwan0,个人,动作游戏,升级,1.0,6,2012-05-11 17:23:36,上架,合同签署并登陆,10040091,10000772,dk.tactile.sealteam1
机器帝国,Ecthelion,个人,动作游戏,升级,2.6.3,22063,2012-05-11 13:56:54,上架,合同已确认并登陆,10040108,118305,net.hexage.robotek.hd
水果大逃亡1.4.2,xxx,个人,动作游戏,升级,1.4.3,17,2012-05-10 18:51:05,上架,合同已确认并登陆,10039491,10013270,com.fruitroll.game.top.best.free
宝石矿工21.0.11,muzhiwan0,个人,动作游戏,升级,1.0.2,17,2012-05-10 18:04:08,上架,合同签署并登陆,10039621,10004938,au.com.phil.mine2
死亡蠕虫,木蚂蚁,企业,动作游戏,升级,1.08,9,2012-05-10 17:53:11,上架,合同签署并登陆,10039898,132249,com.playcreek.DeathWorm
姜饼猛冲1.7,应用汇,企业,动作游戏,升级,1.7,8,2012-05-10 16:49:00,上架,合同签署并登陆,10040226,17305,jp.co.a_tm.ginger.android.full
复仇者,cuizhide,个人,动作游戏,新版本,1.03.01,10301,2012-05-09 17:23:12,上架,合同签署信息通过,10037521,10037521,com.avenger
倾斜赛车1.2,xxx,个人,动作游戏,升级,1.2,3,2012-05-09 16:41:49,上架,合同已确认并登陆,10039545,10011698,com.zz.thumbracing
微型格斗  Minibash,xxx,个人,动作游戏,新版本,1.31,4,2012-05-08 13:15:42,上架,合同已确认并登陆,10041527,10041524,org.minibash.minibash
The Reem,jianghla,个人,动作游戏,新版本,1.0.0,1015,2012-04-12 18:02:39,上架,合同已确认并登陆,10028151,10028148,com.khaeon.thereem
机器帝国,Ecthelion,个人,动作游戏,新版本,2.6.2,22062,2012-03-13 16:31:51,上架,合同已确认并登陆,10013856,118305,net.hexage.robotek.hd
极限摩托,muzhiwan0,个人,动作游戏,新版本,1.79,179,2012-01-12 11:41:56,上架,合同签署并登陆,10000623,10000619,com.occamy.android.motoxmayhem1
机器人奔袭高清版 Roboto HD,应用汇,企业,动作游戏,新版本,1.0.1,2,2011-12-27 10:50:45,上架,合同签署并登陆,33150,33147,com.FFE.Roboto
浑水摸鱼,f2f,企业,动作游戏,升级,1.0.1CN ,20110331,2011-04-07 15:20:31,上架,合同签署并登陆,7678,68441,com.finger2finger.games.deepseafishing
忍者秋千,lenovomm-bj,企业,动作游戏,新版本,1.8,9,2011-04-01 14:22:48,上架,合同签署信息通过,7556,76799,jp.k063amuk.NinjaSwing
降临R（免费版）,wzx104,个人,动作游戏,升级,1.08,7,2011-01-18 16:12:35,上架,合同已确认并登陆,4286,32683,game.adventLite
怪兽王国 | Monster Life,veer,个人,角色策略,新版本,1.0.1,101,2012-08-17 10:58:48,上架,合同签署并登陆,10394885,10394838,com.gameloft.android.GAND.GloftMKHP
?明珠传奇?,掌上明珠,企业,角色策略,升级,1.0.1.2,4,2012-08-16 18:15:29,上架,合同签署并登陆,10399659,10022494,com.pearlinpalm
孔明传,snail,个人,角色策略,新版本,1.7.7,7,2012-08-16 13:34:47,上架,合同签署并登陆,10399015,10399005,com.snailgba.kongmingzhuan
哈利波特与阿兹卡班的囚徒,snail,个人,角色策略,新版本,1.7.7,7,2012-08-16 13:32:58,上架,合同签署并登陆,10399003,10398978,com.snailgba.halibote_azikaban
名将决,yyfarm,个人,角色策略,新版本,1.02,1020,2012-08-14 19:28:43,上架,合同已确认并登陆,10393505,10393490,com.sq.sanguo
山海奇缘,changyoushanhai,企业,角色策略,新版本,1.1.6,16,2012-08-14 13:48:16,上架,合同签署并登陆,10392208,10392190,com.nox.shanhai
野人大作战,dongxin001,企业,角色策略,新版本,1.1,4,2012-07-17 11:29:43,上架,合同签署并登陆,10303963,10303882,com.activ8.mywilddefense
中国娃娃主题乐园  Pucca Theme Park,xxx,个人,角色策略,升级,1.1.0,20120629,2012-07-09 10:48:17,上架,合同已确认并登陆,10232296,10075270,com.incrediblestudio.themepark
霸业三国,xy121117,个人,角色策略,升级,1.6,8,2012-07-05 17:26:34,上架,合同签署并登陆,10201473,10007761,net.zy.sg
极品飞车游戏拼图,Justin,个人,角色策略,新版本,1.0,1,2012-05-30 01:14:12,上架,合同签署并登陆,10103484,10232043,com.lightheadgames.nfsgamespuzzle
银河防御战2(中文版)   Defense of Galaxy 2,xxx,个人,角色策略,升级,1.3.0,9,2012-05-28 09:34:18,上架,合同已确认并登陆,10075379,10044890,com.hotpod.dog2c
机场城市,xxx,个人,角色策略,升级,1.34,51650,2012-05-25 12:01:06,上架,合同已确认并登陆,10085547,10040783,com.gameinsight.airport
轨道火车汉化版,xxx,个人,角色策略,升级,1.2,6,2012-05-23 14:09:04,上架,合同已确认并登陆,10046331,10232024,com.tgb.bg.tmt
阻止恶魔   No Demons Allowed,xxx,个人,角色策略,升级,1.8,9,2012-05-23 09:54:34,上架,合同已确认并登陆,10050708,10044331,com.bulletlike.nodemonsallowed
水果恶魔,ivy-xin,个人,角色策略,新版本,1.5,7,2012-05-23 01:54:54,上架,合同签署并登陆,10070598,10070597,com.feelingtouch.fruit
晶石保卫战2 Tower Raiders 2 GOLD,xxx,个人,角色策略,升级,1.13,113,2012-05-07 18:10:22,上架,合同已确认并登陆,10039145,10028074,com.gianormousgames.towerraiders2
地牢猎手2,jianghla,个人,角色策略,新版本,1.0.0,100,2012-05-03 11:35:41,上架,合同已确认并登陆,10039714,10039665,com.gameloft.TV.GAND.GloftD2HP
海盗塔防  River Pirates Free,xxx,个人,角色策略,升级,1.32,32,2012-04-26 15:50:23,上架,合同已确认并登陆,10031237,10012146,com.entwicklerx.riverpiratesfree
艾莫洛斯战争,muhe,个人,角色策略,新版本,1.3,77,2012-04-10 15:53:21,上架,合同签署并登陆,10021304,10021296,com.emrosswar.cht
Roboto,jianghla,个人,角色策略,新版本,1.0.5,0,2012-04-09 14:27:15,上架,合同已确认并登陆,10026595,10026593,com.fenixfire.roboto
甜点天堂  SweetyHeaven,xxx,个人,角色策略,新版本,Google_1.0.35,35,2012-03-31 16:11:06,上架,合同已确认并登陆,10020418,10020417,com.moaibot.sweetyheaven
终极塔防EX    Tower Defense EX,xxx,个人,角色策略,新版本,1.0.0,1,2012-03-31 16:09:35,上架,合同已确认并登陆,10019556,10019554,com.com2us.towerdefense.normal.freemium.samsungapps.global.android.common
德军进攻   Kraut Attack - Defense,xxx,个人,角色策略,新版本,1.0.2,710271,2012-03-31 15:52:05,上架,合同已确认并登陆,10020456,10020453,com.Virtual_Cosmonauts.KrautAttack
掌上三国,muhe,个人,角色策略,新版本,1.3.0,73,2012-03-31 09:53:50,上架,合同签署并登陆,10020247,10020232,com.tapsg
英雄使命,muzhiwan0,个人,角色策略,新版本,2.5.2,9,2012-01-27 11:23:38,上架,合同签署并登陆,10002836,10002829,com.upon.heroes
星球大战塔防 Star Wars Tower Defense 1.0.1,应用汇,企业,角色策略,新版本,1.0.1,2,2011-09-23 14:35:33,上架,合同签署并登陆,28752,28750,com.catstudio.starwars
Birds on a wire,qq568618720,个人,棋牌游戏,新版本,1.5.6,15006,2012-08-12 18:42:01,上架,合同签署信息通过,10386836,10386821,com.herocraft.games.birdsonwire
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.9,27,2012-08-09 17:33:32,上架,合同已确认并登陆,10374461,10020182,com.rao.loveyy.solitaire
赢话费斗地主,mingyouwangluo,个人,棋牌游戏,升级,1.2.0,2,2012-08-03 11:42:22,上架,合同签署并登陆,10353976,10141148,com.mykj.game.ddz
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.8,26,2012-08-02 14:00:23,上架,合同已确认并登陆,10352073,10020182,com.rao.loveyy.solitaire
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.7,25,2012-07-26 13:27:02,上架,合同已确认并登陆,10329925,10020182,com.rao.loveyy.solitaire
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.6,24,2012-07-19 14:50:22,上架,合同已确认并登陆,10310163,10020182,com.rao.loveyy.solitaire
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.5,23,2012-07-12 15:51:16,上架,合同已确认并登陆,10255172,10020182,com.rao.loveyy.solitaire
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.4,22,2012-07-05 14:16:51,上架,合同已确认并登陆,10200953,10020182,com.rao.loveyy.solitaire
三国杀online HD,bianfeng,企业,棋牌游戏,升级,2.1.2,22,2012-07-05 10:12:30,上架,合同签署信息通过,10200221,10033521,com.bf.sgs.lenovo.hd
空挡接龙,flyfish,个人,棋牌游戏,升级,2.7.3,21,2012-06-28 15:53:30,上架,合同已确认并登陆,10174395,10020182,com.rao.loveyy.solitaire
二人麻将,jianghla,个人,棋牌游戏,新版本,1.0.3,103,2012-06-01 11:16:36,上架,合同已确认并登陆,10112756,10112744,com.axiaoao.iptvmj
Go Free,handster,企业,棋牌游戏,新版本,1.14,8,2011-09-27 14:16:30,上架,合同签署并登陆,28959,28969,uk.co.aifactory.gofree
Checkers Free,handster,企业,棋牌游戏,新版本,1.13,10,2011-09-27 14:16:06,上架,合同签署并登陆,28956,28955,uk.co.aifactory.checkersfree
Pyramid,lenovomm-bj,企业,棋牌游戏,新版本,2.51,17,2011-03-28 16:15:26,上架,合同签署信息通过,7235,73710,com.softick.android.pyramid
klondike,lenovomm-bj,企业,棋牌游戏,新版本,2.32,23,2011-03-28 16:14:12,上架,合同签署信息通过,7247,73744,com.softick.android.solitaire.klondike
Galaga Special Edition,FairyTail,个人,射击游戏,新版本,1.0.0,100,2012-08-10 10:53:31,上架,合同签署并登陆,10376789,10376770,com.namcobandaigames.galagase
泡沫战士 Foam Fighters,veer,个人,射击游戏,新版本,1.5.6,11,2012-08-09 15:59:28,上架,合同签署并登陆,10374194,10374187,com.wowwee.foamfighters
流星战机 Rat Fishing,veer,个人,射击游戏,新版本,1.0,1,2012-08-09 15:53:29,上架,合同签署并登陆,10374185,10374176,com.dotemu.neogeo.blazstar
古堡恶灵,fswd,个人,射击游戏,新版本,2.2,22,2012-07-17 09:59:47,上架,合同已确认并登陆,10269895,10269836,com.jiamin.monk
军队防御,sonic8305,个人,射击游戏,新版本,1.0.3,4,2012-07-15 18:18:15,上架,合同签署并登陆,10292335,10292296,com.titan.armybigdefenser
离子赛车之终极漂移,sonic8305,个人,射击游戏,新版本,1.0,1,2012-07-06 14:34:47,上架,合同签署并登陆,10202606,10202595,com.sgn.ion_racers
兔子射手圣诞版汉化版,junjun,个人,射击游戏,新版本,1.3,4,2012-05-24 14:54:11,上架,合同签署并登陆,10068821,10068820,com.bestcoolfungamesfreegameappcreation.bunnyshooterxmas
Blue Skies Lite,linjinjie,个人,射击游戏,新版本,1.8,9,2012-05-24 10:12:53,上架,合同签署并登陆,10045734,10045731,com.gamejie.BlueSkiesLite
