应用名称,开发者（企业）名称,开发者类型,应用类型,申请类型,版本名称,版本号,上下架时间,架位状态,合同状态,LCAID,APPID,应用包名
我的纸飞机,laixiujian111,个人,射击游戏,新版本,2.0.8,108,2012-05-23 01:26:41,上架,合同签署并登陆,10068849,10068848,com.wavecade.mypaperplane_x_lite
反恐警报 Alert terrorist,xxx,个人,射击游戏,新版本,1.6,10,2012-03-15 16:55:27,上架,合同已确认并登陆,10014800,10014799,org.fankong
变身国王疯狂赛跑,17VEE,企业,体感游戏,新版本,0.0.0,0,2012-07-17 14:50:11,上架,合同签署并登陆,10301016,10300977,air.MorphKing.TV
ThePiratesTreasure3,17VEE,企业,体感游戏,新版本,1.0.0,1000000,2012-07-17 14:38:21,上架,合同签署并登陆,10302000,10301959,air.D9.ThePiratesTreasure3
碰碰卡丁车,17VEE,企业,体感游戏,新版本,1.0.1,1000001,2012-07-10 18:03:24,上架,合同签署并登陆,10247779,10247761,air.A17vee.d9.kart
平衡绳索,17VEE,企业,体感游戏,新版本,1.0,1,2012-07-10 16:09:10,上架,合同签署并登陆,10247809,10247791,com.tfhd.d9.balancerope
眼保健操,jianghla,个人,体感游戏,新版本,2.0,2,2012-06-20 17:02:27,上架,合同已确认并登陆,10161747,10161739,com.app.xjiajiaEyeGym
趣味高尔夫,jianghla,个人,体感游戏,新版本,2.0,2,2012-06-20 17:02:08,上架,合同已确认并登陆,10161828,10161822,com.app.xjiajiaGolf
轻松棒球,yanchengzhe,企业,体感游戏,新版本,2.0,2,2012-06-13 14:05:10,上架,合同签署并登陆,10095458,10095326,com.app.xjiajiaBaseball
趣味走钢丝,yanchengzhe,企业,体感游戏,新版本,2.0,2,2012-05-17 17:48:28,上架,合同签署并登陆,10036571,10036565,com.app.xjiajiaTightRope
百米赛跑,yanchengzhe,企业,体感游戏,新版本,2.0,2,2012-05-17 17:48:02,上架,合同签署并登陆,10036577,10036575,com.app.xjiajiaOlympic
趣味飞镖体验版,yanchengzhe,企业,体感游戏,新版本,2.0,2,2012-05-17 17:43:56,上架,合同签署并登陆,10031443,10031359,com.app.xjiajiaDart
趣味飞镖,yanchengzhe,企业,体感游戏,新版本,2.0,2,2012-05-17 17:43:22,上架,合同签署并登陆,10032552,10032502,com.app.xjiajiaDartOfficial
轻松保龄球,jianghla,个人,体感游戏,新版本,2.0,2,2012-04-27 18:37:43,上架,合同已确认并登陆,10036048,10036046,com.app.xjiajiaBowling
轻松羽毛球,jianghla,个人,体感游戏,新版本,2.0,2,2012-04-27 18:37:12,上架,合同已确认并登陆,10036051,10036049,com.app.xjiajiaBadminton
轻松网球,jianghla,个人,体感游戏,新版本,2.0,2,2012-04-27 18:35:11,上架,合同已确认并登陆,10036039,10036035,com.app.xjiajiaTennis
AIWI,jianghla,个人,体感游戏,新版本,0.3.0326.1,37,2012-04-01 14:17:29,上架,合同已确认并登陆,10022457,10022451,com.aibelive.aiwi
可爱弓箭手（需安装AIWI）,jianghla,个人,体感游戏,新版本,1.6,1,2012-04-01 14:10:50,上架,合同已确认并登陆,10022447,10022427,com.Aibelive.CuteArcher
3D赛船高清版,koforandroid,个人,体育竞技,新版本,1.1,4,2012-07-21 18:17:26,上架,合同签署并登陆,10318775,10318774,com.guoandroid.boat
离子赛车之火箭喷射,sonic8305,个人,体育竞技,新版本,21.4,147,2012-07-18 14:24:27,上架,合同签署并登陆,10306592,10306564,com.sgn.ionracergame
Touch Racing Nitro,chs2525,个人,体育竞技,新版本,1.2.3,123,2012-07-06 11:32:08,上架,合同签署并登陆,10205112,10205089,com.bravogamestudios.kiidjudjjjjfhhs
2012欧洲杯,dongxin001,企业,体育竞技,新版本,1.4,5,2012-07-05 17:40:18,上架,合同签署并登陆,10201502,10201451,com.uplayonline.mystrikersoccereuro
国际斯诺克2.0,feiyun,个人,体育竞技,新版本,2.0,11,2012-07-03 17:00:07,上架,合同签署并登陆,10195323,10195308,uk.co.bigheadgames.Snooker
美国职业保龄球 PBA Bowling 2,Justin,个人,体育竞技,升级,2.0.12,20012,2012-07-02 08:30:15,上架,合同签署并登陆,10189207,10121032,com.concretesoftware.pba2_mcg
终极越野摩托车,gpworks,个人,体育竞技,新版本,1.0,1,2012-06-24 15:58:58,上架,合同签署并登陆,10165198,10165191,com.gamayun.ultimatemotocrossfree
离子赛车,gpworks,个人,体育竞技,新版本,1.0,1,2012-06-23 18:08:59,上架,合同签署并登陆,10164949,10164947,com.sgn.ionracer
狂野飙车6-火线追击,jianghla,个人,体育竞技,新版本,1.0.0,100,2012-06-08 11:16:12,上架,合同已确认并登陆,10135443,10135439,com.gameloft.android.DOCOMO.GloftA6DO
飙车,cuizhide,个人,体育竞技,升级,1.0.10,17,2012-06-03 19:48:51,上架,合同签署信息通过,10121559,10037107,com.creativemobile.dragracingbe
疯狂躲避赛车  Switch,xxx,个人,体育竞技,升级,1.6,9,2012-05-25 09:37:24,上架,合同已确认并登陆,10066957,10043480,com.playboxgames.pbswitch
欧洲杯2012完美版,chs2523,个人,体育竞技,新版本,1.0.2,4,2012-05-24 17:35:36,上架,合同签署并登陆,10064435,10064433,com.buzzwordsoft.eurov2012
摩尔卡丁车【热】,taomee,企业,体育竞技,新版本,1.0.1,101,2012-04-13 10:56:39,上架,合同签署并登陆,10018952,10018938,com.taomee.molekart
Arc3D足球,jianghla,个人,体育竞技,新版本,1.0,1,2012-04-01 12:00:21,上架,合同已确认并登陆,10022389,10022383,game.arc3dsoccer
疯狂走私艇 Shine Runner,xxx,个人,体育竞技,新版本,1.1,4,2012-03-19 16:21:02,上架,合同已确认并登陆,10015577,10015575,com.vectorunit.green
触摸赛车 Touch Racing Nitro,xxx,个人,体育竞技,新版本,1.2.3,123,2012-03-15 17:00:42,上架,合同已确认并登陆,10014846,10014845,com.bravogamestudios.touchracingnitro
全国足球联赛24小时运动直播,genera,企业,体育竞技,新版本,2.2.3,12,2011-04-21 15:16:19,上架,合同签署信息通过,8259,84067,com.gi.nfl.main
NBA Livesports24,genera,企业,体育竞技,新版本,1.1.2,6,2011-04-20 15:15:17,上架,合同签署信息通过,8273,84046,com.gi.nba.main
牧场物语_矿石镇的伙伴（女孩篇）,snail,个人,养成游戏,新版本,1.7.7,7,2012-08-16 13:18:41,上架,合同签署并登陆,10398974,10398961,com.snailgba.muchangwuyu_girl
牧场物语_矿石镇的伙伴（男孩篇）,snail,个人,养成游戏,新版本,1.7.7,7,2012-08-16 13:10:45,上架,合同签署并登陆,10398960,10398927,com.snailgba.muchangwuyu_nanhaipian
一键偷花,jinta2001,个人,养成游戏,新版本,2.5,15,2012-08-16 13:01:32,上架,合同签署并登陆,10398936,10398932,qq.rose
水果积木,qwe202,个人,养成游戏,新版本,1.7,8,2012-08-14 18:04:11,上架,合同签署并登陆,10389566,10389551,com.yhz.fruits
驱蚊,邵洋江,个人,养成游戏,新版本,1.2,2,2012-06-25 21:36:05,上架,合同签署并登陆,10166383,10166382,irdc.ex10_08.dianle.shao
时尚女魔头,feiyun,个人,养成游戏,新版本,1.3.7.03,17,2012-03-13 16:10:01,上架,合同签署并登陆,10013931,10013930,com.teamlava.fashionstory
外星宠物（Furdiburb - Lite）,Sheado,企业,养成游戏,升级,0.15beta,22,2011-05-16 14:50:13,上架,合同签署并登陆,9730,66024,com.sheado.lite.pet
摩托车大奖赛儿童版,genera,企业,养成游戏,新版本,1.0.0,1,2011-04-21 15:20:57,上架,合同签署信息通过,8257,84035,com.gi.motoGPKids.main
终极找茬,defoe01,个人,益智休闲,升级,2.1,3,2012-08-17 09:08:47,上架,合同签署并登陆,10400347,10326642,com.defoe.game2
大家来找茬,defoe01,个人,益智休闲,升级,2.1,3,2012-08-17 09:06:52,上架,合同签署并登陆,10400337,10323679,com.defoe.game1
美眉找茬,defoe01,个人,益智休闲,升级,2.1,3,2012-08-17 09:06:43,上架,合同签署并登陆,10400341,10342207,com.defoe.game4
妹子找茬,defoe01,个人,益智休闲,升级,3.1,4,2012-08-17 09:02:44,上架,合同签署并登陆,10400321,10310103,com.defoe.game
宝宝学自然现象,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-16 17:34:48,上架,合同签署并登陆,10399604,44185,com.sinyee.babybus.season
宝宝童谣,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-16 17:34:44,上架,合同签署并登陆,10399610,44130,com.sinyee.babybus.song
宝宝童谣2,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-16 17:27:02,上架,合同签署并登陆,10399595,54484,com.sinyee.babybus.songII
海底泡泡大战,flyfish,个人,益智休闲,升级,1.4.22,27,2012-08-16 16:24:43,上架,合同已确认并登陆,10399449,10020190,com.rao.love.yy.bubblewar
米娜的炸弹HD版,coolsoft,个人,益智休闲,新版本,1.0.1,11,2012-08-15 17:32:52,上架,合同签署并登陆,10393291,10393278,com.xuanku.fire
宝宝乐器,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-14 12:04:42,上架,合同签署并登陆,10392487,52978,com.sinyee.babybus.songIV
宝宝学交通工具,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-14 11:56:12,上架,合同签署并登陆,10392463,54005,com.sinyee.babybus.cars
神奇的木偶,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-14 10:12:10,上架,合同签署并登陆,10392091,10029879,com.sinyee.babybus.bodyII
宝宝行为认知,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-14 10:02:29,上架,合同签署并登陆,10392052,44080,com.sinyee.babybus.behaviour
宝宝学ABC,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-14 09:50:18,上架,合同签署并登陆,10392019,44150,com.sinyee.babybus.abc
妹子找茬(可爱版),defoe01,个人,益智休闲,新版本,1.0,1,2012-08-13 17:19:25,上架,合同签署并登陆,10389472,10389469,com.defoe.game5
采荷叶,iplayfun0615,企业,益智休闲,新版本,1.6,2,2012-08-13 10:05:27,上架,合同签署并登陆,10388950,10388948,com.steven
极限停车 (豪华版),gpworks,个人,益智休闲,新版本,1.0,1,2012-08-11 17:03:30,上架,合同签署并登陆,10381743,10381733,com.azugame.parkingCar
宝宝学形状,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-10 11:55:36,上架,合同签署并登陆,10376990,44195,com.sinyee.education.shape
宝宝学日用品,sinyee_android,企业,益智休闲,升级,3.71,31,2012-08-10 11:43:29,上架,合同签署并登陆,10376929,10133101,com.sinyee.babybus.dailycommodities
姜饼大逃亡正式版,shenyangbin,个人,益智休闲,新版本,1.3,4,2012-08-10 10:53:30,上架,合同签署并登陆,10376788,10376783,jp.co.a_tm.gingerz.androids.fulls
美眉找茬,defoe01,个人,益智休闲,升级,2.0,2,2012-08-10 09:17:27,上架,合同签署并登陆,10376625,10342207,com.defoe.game4
终极找茬,defoe01,个人,益智休闲,升级,2.0,2,2012-08-09 18:35:30,上架,合同签署并登陆,10374566,10326642,com.defoe.game2
大家来找茬,defoe01,个人,益智休闲,升级,2.0,2,2012-08-09 18:23:30,上架,合同签署并登陆,10374537,10323679,com.defoe.game1
海底泡泡大战,flyfish,个人,益智休闲,升级,1.4.21,26,2012-08-09 17:29:33,上架,合同已确认并登陆,10374452,10020190,com.rao.love.yy.bubblewar
海底泡泡大战,flyfish,个人,益智休闲,升级,1.4.20,25,2012-08-02 14:02:28,上架,合同已确认并登陆,10352078,10020190,com.rao.love.yy.bubblewar
足球迷宫,qwe202,个人,益智休闲,新版本,1.2,3,2012-07-30 18:02:48,上架,合同签署并登陆,10330552,10330545,com.jusonistudios.mmaze
